aʊ l a	aʊ l a m
d ɪ m ɛ n t ɪ k aː r ɛ	d eː m ɛ n t aː r ɛ
k ʊ m r ʊ s k aː r ɛ	k ɔ r ʊ s k aː r ɛ
f ɪ l ɔ s ɔ f j a m	pʰ ɪ l ɔ s ɔ pʰ j a m
d ɛ l ɪ n kʷ ɛ n t j a m	d eː l ɪ ŋ kʷ ɛ n t j a m
g ɛ n j aː l ɛ	g ɛ n j aː l ɛ m
aː n ʊ s	aː n ʊ m
s ɛ r oː t ɪ n ʊ m	s eː r oː t ɪ n ʊ m
l a ŋ g oː r ɛ	l a ŋ gʷ oː r ɛ m
f eː mː ɪ n a m	f eː m ɪ n a m
d ɛ p ɛ n d ɛ r ɛ	d eː p ɛ n d eː r ɛ
s kʷ aː m a m	s kʷ aː m a m
b ɛ lː ɪ k ʊ m	b ɛ lː ɪ k ʊ m
ɪ n mː aː k ʊ l aː t ʊ m	ɪ mː a k ʊ l aː t ʊ m
k ɔ n t r a w n ɪ r	k ɔ n t r aː w ɛ n iː r ɛ
s w aː d ɪ r ɛ	s w aː d eː r ɛ
k aː m ɪ n ʊ m	k a m iː n ʊ m
ɛ k s p ɛ k t aː t j ʊ m n ɛ	ɛ k sː p ɛ k t aː t j oː n ɛ m
d j a l ɛ k t ʊ m	d j a l ɛ k t ɔ n
r ɛ s k ɪ n d ɛ r ɛ	r ɛ s k ɪ n d ɛ r ɛ
p ɛ lː ɪ k a n ʊ m	p ɛ l ɛ k aː n ʊ m
k a l ɛ f a k t j oː n ɛ m ɛ	k a l ɛ f a k t j oː n ɛ m
ɔ b j ɛ k t ʊ m	ɔ b ɪ ɛ k t ʊ m
t ɛ s t ɪ m oː n j ʊ m	t ɛ s t ɪ m oː n j ʊ m
k aː r d ɪ n ɛ	k a r d ɪ n ɛ m
k ɔ n t ʊ r b aː r ɛ	k ɔ n t ʊ r b aː r ɛ
a t ɛ n d ɛ r ɛ	a tː ɛ n d ɛ r ɛ
a n ɛ m g aː r ɛ	eː n ɛ k aː r ɛ
ɔ p r ɔ b r j ʊ m	ɔ pː r ɔ b r j ʊ m
m ɛ d ʊ m	m ɛ t ʊ m
s ɔ n ʊ m	s ɔ m n j ʊ m
p ɔ r t ɛ r ʊ m	p ɔ r t aː r j ʊ m
ɪ n a l aː r ɛ	ɪ n h aː l aː r ɛ
n a w ɪ g aː r ɛ	n aː w ɪ g aː r ɛ
r ɛ k uː s a t j oː n ɛ m	r ɛ k uː s aː t j oː n ɛ m
k ʊ rː ɪ k ʊ l ʊ m	k ʊ rː ɪ k ʊ l ʊ m
d ɛ m s uː m ɛ r ɛ	d eː s uː m ɛ r ɛ
m a t ʊ r aː r ɛ	m aː t uː r aː r ɛ
ɪ ŋ g uː s t ʊ m	ɪ n ɪ uː s t ʊ m
m ʊ r ʊ m	m uː r ɛ m
aː m ɪ k aː l ɛ	a m iː k aː l ɛ m
b a l t ɪ k ʊ m	b a l t ɪ k ʊ m
a b dː ɔ m ɛ n	a b d oː m ɛ n
a k r ɪ m oː n j a m	aː k r ɪ m oː n j a m
f ɪ k ʊ m	f iː k ʊ m
ɪ n t r ɔ d uː k t j oː n ɛ m	ɪ n t r oː d ʊ k t j oː n ɛ m
ɪ m p ɛ m d ɪ m ɛ n t ʊ m	ɪ m p ɛ d iː m ɛ n t ʊ m
k ɔ n f ɔ r m ɛ m	k oː n f oː r m ɛ m
ɛ n s ɛ m	eː n s ɛ m
k uː r aː r ɛ	k uː r aː r ɛ
r ɛ s a r k ɪ r ɛ	r ɛ s a r k iː r ɛ
l ʊ t oː s ʊ m	l ʊ t oː s ʊ m
r ɛ t r a k t j oː n ɛ m	r ɛ t r a k t j oː n ɛ m
k ɔ n d ɛ n s aː r ɛ	k ɔ n d eː n s aː r ɛ
ʊ s t j ʊ m	oː s t j ʊ m
r aː s t r ʊ m	r aː s t r ʊ m
k ɛ r ɛ m ɔ n j aː l ɛ	k aɪ r ɪ m oː n j aː l ɛ m
k ɔ s t uː m ɛ m	k oː n s ʊ eː t uː d ɪ n ɛ m
m a n t ɪ p m j ʊ	m a ŋ k ɪ p j ʊ m
f ɛ m t ɛ r ɛ	f eː t eː r ɛ
n ɔ k ɪ w ʊ m	n ɔ k iː w ʊ m
d ɛ r ɪ s oː r j ʊ m	d eː r iː s oː r j ʊ m
b ɛ n ɛ f ɪ k j ʊ m	b ɛ n ɛ f ɪ k j ʊ m
l ɪ k t oː r ɛ	l iː k t oː r ɛ m
m ɛ d j ʊ m	m ɛ d j ʊ m
b a l t ɛ ʊ m	b a l t ɛu m
f l oː r iː r ɛ	f l oː r eː r ɛ
l ɔ ŋ g ɪ n kʷ ɪ t aː t ɛ m	l ɔ ŋ g ɪ ŋ kʷ ɪ t aː t ɛ m
k ɔ k s aː l ɛ	k ɔ k s aː l ɛ m
m uː k oː s ʊ m	m uː k oː s ʊ m
ɪ n t ɛ ɪ r ɛ	ɪ n t ʊ eː r iː
ɪ n f ɪ m ʊ m	iː n f ɪ m ʊ m
a b ɪ g ɛ aː t ʊ m	a b ɪ g ɛ aː t ʊ m
a m ɪ k ɪ t j a	a m iː k ɪ t j a m
m ɛ r ɪ t ʊ m	m ɛ r ɪ t ʊ m
ɔ s p ɪ t j ʊ m	h ɔ s p ɪ t j ʊ m
p l ʊ m b aː g ɪ n ɛ	p l ʊ m b aː g ɪ n ɛ m
p r ɛ s aː g j ʊ m	p r aɪ s aː g j ʊ m
t ɛ d ʊ l a m	s kʰ ɛ d ʊ l a m
ɔ m ɪ t ɪ d a m	h ɔ m ɪ k iː d a m
b ɛ t ʊ lː a	b ɛ t ʊ l a m
ɪ n ɔ b ɪ l ɛ	ɪ ŋ n oː b ɪ l ɛ m
a m p l ɪ t d ɪ	a m p l ɪ t uː d ɪ n ɛ m
ɛ k s t ɛ n d ɛ r ɛ	ɛ k s t ɛ n d ɛ r ɛ
ɪ lː ɛ g aː l ɛ	ɪ lː eː g aː l ɛ m
t ʊ b ɛ r ʊ m s ʊ m	t uː b ɛ r oː s ʊ m
m ɛ m b r aː n ʊ m s ʊ m	m ɛ m b r aː n ɛu m
f ɔ sː a m	f ɔ sː a m
t ɔ r p ɛ d ʊ m	t ɔ r p eː d ɪ n ɛ m
l a b ɔ r aː r ɛ	l a b oː r aː r ɛ
t eːa n ɪ r n ʊ m	t ɛ n ɛ r ʊ m
k r ɛ d uː l ʊ m	k r eː d ʊ l ʊ m
r ɛ t r ɔ k ɛ d ɛ r ɛ	r ɛ t r oː k eː d ɛ r ɛ
aː r t ɛ m ɪ s j a m	a r t ɛ m ɪ s j a m
a b ʊ m l aː r ɛ	f aː b ʊ l aː r iː
a f l ɛ n k j a	a fː l ʊ ɛ n t j a m
s p ɔ l ʊ m	s p ɔ l j ʊ m
aː b ɪ l ɛ	h a b ɪ l ɛ m
w a r ɛ r ɛ	w ɛ rː ɛ r ɛ
k aː r p ɛ n t ʊ m	k a r p ɛ n t ʊ m
p ɛ r s p ɪ k uː ɪ t aː	p ɛ r s p ɪ k ʊ ɪ t aː t ɛ m
a pː a r iː r ɛ	a pː aː r eː r ɛ
p ɪ s m p a d ʊ m	ɛ p ɪ s k ɔ p aː t ʊ m
aː d ɪ k r ɛ	a dː iː k ɛ r ɛ
a m a l g a m a	a m a l g a m a
l ʊ d ɪ b r j ʊ m	l uː d iː b r j ʊ m
p j ɛ t ɪ k a m	p ɛ d ɪ k a m
b r ɪ t aː nː ɪ k ʊ m	b r ɪ t a nː ɪ k ʊ m
s ʊ p ɛ r ɛ m pː oː n ɛ	s ʊ p ɛ r p oː n ɛ r ɛ
s kʷ aː l ɪ d ʊ m	s kʷ aː l ɪ d ʊ m
k ɔ m ɔ d ʊ m	k ɔ mː ɔ d ʊ m
k ɔ n f j aː r ɛ	k oː n f iː d ɛ r ɛ
s uː d aː r j ʊ m	s uː d aː r j ʊ m
t ɛ m ɛ r ɛ	t ɪ m eː r ɛ
ɛ k s ɪ b iː r ɛ	ɛ k s h ɪ b eː r ɛ
ɛ t ɔ l ɔ g j a m	eː tʰ ɔ l ɔ g j a m
s a k r ɪ l ɛ g ʊ m	s a k r ɪ l ɛ g ʊ m
ɪ n d uː r aː r ɛ	ɪ n d uː r aː r ɛ
k a l ʊ m nː j a m	k a l ʊ m n j a m
d ɪ s t r a k t j oː n ɛ m	d ɪ s t r a k t j oː n ɛ m
t ʊ n ɛ m k ɛ r ɛ	t ʊ n d ɛ r ɛ
s ɔ lː ɪ k ɪ t aː r ɛ	s ɔ lː ɪ k ɪ t aː r ɛ
r ɛ k ʊ n ɔ s ɛ r ɛ	r ɛ k ɔ ŋ n oː s k ɛ r ɛ
d ɛ ɪ f ɪ k aː r ɛ	d ɛ ɪ f ɪ k aː r ɛ
k ɪ r k ʊ n d aː r ɛ	k ɪ r k ʊ m d a r ɛ
n a t uː r a m	n aː t uː r a m
ɛ n k ɔ m j ʊ m	ɛ ŋ k oː m j ʊ m
r ɛ aː t ʊ m	r ɛ aː t ʊ m
j ɛ ɛ m m aː l ɛ	h ɪ ɛ m aː l ɛ m
p a m g a n t iː t aː	p aː g aː n ɪ t aː t ɛ m
b r aː k ɛ s	b r aː k aː s
p r ɔ f ɛ r ɪ r ɛ	p r oː f ɛ rː ɛ
aʊ r ɔ r a m	aʊ r oː r a m
k aː lː ʊ m	k a lː ʊ m
d ɛ s ɛ r t j oː n ɛ m	d eː s ɛ r t j oː n ɛ m
t r ɪ g ɛ s ɪ m ʊ m	t r iː g eː s ɪ m ʊ m
s ʊ m p r sː ɛ d eː r ɛ	s ʊ p ɛ r s ɛ d eː r ɛ
p l aː t aː n ʊ m	p l a t a n ʊ m
s ɛ r w ɪ ɛ n t ɛ	s ɛ r w ɪ ɛ n t ɛ m
d ɛ l a t oː r ɛ	d eː l aː t oː r ɛ m
p aː s ɛ m r ʊ m	p a sː ɛ r ɛ m
k ʊ k oː lː ʊ m	k ʊ k ʊ lː ʊ m
s a k r ɪ f ɪ k j ʊ m	s a k r ɪ f ɪ k j ʊ m
n ʊ k ɛ t ʊ m	n ʊ k eː t ʊ m
r ɛ sː ɛ n a m r ɛ	r ɛ s ɪ ŋ n aː r ɛ
f eː r j a m	f eː r j aː s
p r ɔ m ɔ n t oː r j ʊ m	p r oː m ʊ n t ʊ r j ʊ m
d ɛ m n ʊ d aː r ɛ	d eː n uː d aː r ɛ
k ɔ n s ɪ s t ɛ r ɛ	k oː n s ɪ s t ɛ r ɛ
a m n ʊ t ɪ n ʊ m	a nː oː t ɪ n ʊ m
l ɔ k ʊ t oː r	l ɔ k uː t oː r ɛ m
a n aː t aː m	a n a t ɛ m
aː b ɪ l ɛ	aː b ɪ l ɛ m
r ɛ t r ɪ b ʊ iː r ɛ	r ɛ t r ɪ b ʊ ɛ r ɛ
m aː r g ɛ r ɪ t aː	m a r g a r iː t a m
b oː b ʊ m	b a l b ʊ m
n ɔ w ɪ t j ʊ m	n ɔ w iː k j ʊ m
b ɔ t ʊ l ɪ n ʊ m	b ɔ t ʊ l ʊ m
aː l g oː r ɛ	a l g oː r ɛ m
s aː k r aː m ɛ n t aː l ɛ	s a k r aː m ɛ n t aː l ɛ m
ɛ b r ɪ ɛ t aː t ɛ	eː b r ɪ ɛ t aː t ɛ m
k ɔ n s k ɛ j ɛ n t j a m	k oː n s k ɪ ɛ n t j a m
w ɪ k ɪ n a m	w iː k iː n a m
t aː ŋ g ɛ r ɛ	t a ŋ g ɛ r ɛ
w ɪ k ɪ sː ɪ t ʊ d ɪ n ɛ	w ɪ k ɪ sː ɪ t uː d ɪ n ɛ m
d ɪ m a n aː r ɛ	d iː m aː n aː r ɛ
n ʊ m t ɔ r j ʊ m	n oː t oː r j ʊ m
l aʊ d ɛ	l aʊ d ɛ m
r ɛ s t r ɪ ŋ g ɛ r ɛ	r ɛ s t r ɪ ŋ g ɛ r ɛ
t ʊ n d aː r ɛ	t ɔ n d eː r ɛ
l a k ɛ r aː r ɛ	l a k ɛ r aː r ɛ
k ɛ sː a t j oː n ɛ m	k ɛ sː aː t j oː n ɛ m
k ɔ ŋ j uː g aː r ɛ	k ɔ n j ʊ g aː r ɛ
j ʊ d ɪ t j ʊ m	j uː d ɪ k j ʊ m
t ɛ rː ɛ m m ɔ t ʊ m	t ɛ rː aɪ m ɔ t ʊ m
d ɛ s t r uː g ɪ r ɛ	d eː s t r ʊ ɛ r ɛ
d ɛ s ɛ r t ʊ m	d eː s ɛ r t ʊ m
ɛ k s p a n d ɛ r ɛ	ɛ k s p a n d ɛ r ɛ
ɪ rː ɛ g ʊ l aː r ɛ	ɪ rː eː g ʊ l aː r ɛ m
s a ŋ gʷ ɪ n oː s ʊ m	s a ŋ gʷ ɪ n oː s ʊ m
f r ɛ a k s ɪ n ɪ ʊ m	f r a k s ɪ n ɛu m
k ɪ n t ʊ m	k ɪ ŋ k t ʊ m
d ɪ g ɪ t aː r ɛ	d ɪ g ɪ t aː r ɛ
p uː n t ʊ m	p uː ŋ k t ʊ m
t ʊ s oː n ɛ m	t oː n s j oː n ɛ m
b aː s j ʊ m	b aː s j ʊ m
s t a b ɪ l k ɛ r ɛ	s t a b ɪ l iː r ɛ
a r ɪ ʊ m l ʊ m	h a r ɪ ɔ l ʊ m
d ɪ s p ɛ r k ɪ r ɛ	d ɪ s p ɛ r iː r ɛ
k ɛ r k aː r ɛ	k ɪ r k aː r ɛ
k l aʊ d ɪ k a m r ɛ	k l aʊ d ɪ k aː r ɛ
ɛ k s p l a n aː r ɛ	ɛ k s p l aː n aː r ɛ
p a r aː r ɛ	p a r aː r ɛ
k a p a k ɪ t aː t ɛ m	k a p aː k ɪ t aː t ɛ m
d ɛ p uː r aː r ɛ	d eː p uː r aː r ɛ
a b sː ɔ l uː t j oː n ɛ m	a b s ɔ l uː t j oː n ɛ m
a fː l uː iː r ɛ	a fː l ʊ ɛ r ɛ
ɔ l f a t ɔ r j ʊ m	ɔ l f a k t oː r j ʊ m
k aː m a r a m	k a m a r a m
k ɛ l a m r ɛ	k eː l aː r ɛ
ɪ n b ɛ r n aː l ɛ	h iː b ɛ r n aː l ɛ m
r a a m	r a j a m
a lː ɛ g a t j oː n ɛ m	a lː eː g aː t j oː n ɛ m
t r ɪ t ɛ n aː r j ʊ m	t r iː k eː n aː r j ʊ m
s uː b l ɪ m a t j oː n ɛ m	s ʊ b l iː m aː t j oː n ɛ m
p uː p ɪ lː a m	p uː p ɪ lː a m
w ɔ g aː r ɛ	w ɔ k aː r ɛ
s ʊ sː ʊ rː ʊ m	s ʊ s ʊ rː ʊ m
f a a	f aː g ɛ a m
k ɔ r ɔ n ɪ d ɛ	k ɔ r oː n ɪ d ɛ m
m uː g ɪ r ɛ	m uː g iː r ɛ
m ʊ n t oː s ʊ m	m ɔ n t ʊ oː s ʊ m
k ɔ m p ɛ t ɛ n t j a m	k ɔ m p ɛ t ɛ n t j a m
r ɪ g ʊ r oː s ʊ m	r ɪ g ɔ r ɔ s ʊ m
s ʊ mː ɪ n ɪ s t r aː r ɛ	s ʊ b m ɪ n ɪ s t r aː r ɛ
r ɔ t aː r ɛ	r ɔ t aː r ɛ
ɛ d ɪ l	aɪ d iː l ɛ m
f aː s t ʊ m	f aː s t ʊ m
l ɔ r ɪ k a m	l oː r iː k a m
ɪ n w ɪ d j oː s ʊ m	ɪ n w ɪ d j oː s ʊ m
r ʊ f ʊ m	r uː f ʊ m
a p ɛ m lː ɪ d aː r ɛ	a pː ɛ lː ɪ t aː r ɛ
f a r t aː r ɛ	f a r k iː r ɛ
m ɛ r ɛ m t r ɪ k j ʊ m	m ɛ r ɛ t r iː k j ʊ m
ɛ k s uː l t a t j oː n ɛ m	ɛ k s ʊ l t a t j oː n ɛ m
a r k aː n ʊ m	a r k a n ʊ m
s aː t ɛ lː ɪ t ɛ	s a t ɛ lː ɪ t ɛ m
d ɛ g ɛ n ɛ r aː r ɛ	d eː g ɛ n ɛ r aː r ɛ
r aː p ɪ d ɪ t aː	r a p ɪ d ɪ t aː t ɛ m
l ɛ t ɛ r a m	l ɪ tː ɛ r a m
d ʊ l k aː m aː r aː	d uː l k a m aː r a m
k ʊ l t r ʊ m	k ʊ l t r ʊ m
b ɛ n ɛ f ɪ k ʊ m	b ɛ n ɛ f ɪ k ʊ m
f l aː t ʊ m	f l aː t ʊ m
r ɛ w ɛ m r ɛ n t ɛ m	r ɛ w ɛ r ɛ n t ɛ m
k ɔ m p l a m k ɛ r ɛ	k ɔ m p l a k eː r ɛ
g uː g aː l	j ʊ g aː l ɛ m
m ʊ d ɛ r	m ɔ l ɛ r ɛ
aː w ɪ	a w ɛ m
aː sː ɪ eː r ɛ	a sː ɪ d eː r ɛ
f r a t ɛ r n ʊ m	f r aː t ɛ r n ʊ m
t r ɪ lː ʊ m	t r iː b ʊ l ʊ m
aː b n ɔ r m ɛ	a b n oː r m ɛ m
p r ɔ ɪ b ɪ t j ɔ n	p r ɔ h ɪ b ɪ t j oː n ɛ m
ɛ l uː k uː b r aː r ɛ	eː l uː k ʊ b r aː r ɛ
m ʊ k ɔ n ɛ m	m uː t ʊ l ʊ m
p ɛ k uː n j a m	p ɛ k uː n j a m
k ʊ k ɪ n aː r ɛ	k ɔ kʷ iː n aː r ɛ
s ʊ b t r ɛ r ɛ	s ʊ b t r a h ɛ r ɛ
ɪ n s t ɪ t ʊ ɪ r ɛ	iː n s t ɪ t ʊ ɛ r ɛ
p aː l m ʊ m	p a l m ʊ m
t ɛ ɔ s ɔ f j a m	tʰ ɛ ɔ s ɔ pʰ j a m
p a b ɔ r	p a w oː r ɛ m
m a n ɪ f ɛ m s t aː r ɛ	m a n ɪ f ɛ s t aː r ɛ
b r a n k a m	b r a ŋ k a m
ɪ n mː ɪ s ɛ r ɛ s ɛ	ɪ mː ɪ s k eː r ɛ
k oː n s k ʊ m	k oː n s k j ʊ m
s aː b l ʊ m n ɛ m	s a b ʊ l oː n ɛ m
s m ɛ r a l d ʊ m	s m a r a g d ʊ m
r ɛ f r ɛ ɪ g ɛ r j ʊ m	r eː f r iː g ɛ r j ʊ m
p r ɔ s t r aː r ɛ	p r oː s t ɛ r n ɛ r ɛ
p l aː n t ʊ m	p l a ŋ k t ʊ m
f uː r j oː s ʊ m	f ʊ r j oː s ʊ m
n ʊ m n aː r ɛ	n oː m ɪ n aː r ɛ
s a k r ɪ f ɪ k a t oː r ɛ	s a k r ɪ f ɪ k aː t oː r ɛ m
uː r ɪ n a m	uː r iː n a m
ʊ s ɪ n ɔ l ʊ m	l ʊ s k ɪ n j a m
d ɛ m ɔ n s t r aː r ɛ	d eː m oː n s t r aː r ɛ
l a w a t j oː n ɛ m	l a w aː t j oː n ɛ m
ɪ n f ɔ r m ɛ	iː n f oː r m ɛ m
k aː s ʊ m	k aː s ʊ m
ɛ r g ɛ r ɛ	eː r ɪ g ɛ r ɛ
k ɔ k ʊ m ɛ b r ʊ m	k ʊ k ʊ m ɛ r ɛ m
ɪ ŋ g ɛ r ɪ r ɛ	ɪ ŋ g ɛ r ɛ r ɛ
ɛ s k ʊ l ɛ n t ʊ m	eː s k ʊ l ɛ n t ʊ m
d oː n	d oː n ʊ m
r uː g ɪ r ɛ	r uː g iː r ɛ
k a r aː k t ɛ r ɛ	kʰ a r a k t eː r ɛ m
n ʊ t r ɪ r ɛ	n uː t r iː r ɛ
ɔ b t ɛ m p ɛ r aː r ɛ	ɔ b t ɛ m p ɛ r aː r ɛ
s ʊ b aː k ɛ r ɛ	s ʊ b j a k eː r ɛ
b ʊ lː a m	b ʊ lː a m
k ʊ m n aː t ʊ m	k ɔ ŋ n aː t ʊ m
t r ɛ p ɪ d aː r ɛ	t r ɛ p ɪ d aː r ɛ
ɪ n t ɛ m l ɪ g ɪ r ɛ	ɪ n t ɛ lː ɛ g ɛ r ɛ
k ɔ n s oː n aː r ɛ	k oː n s ɔ n aː r ɛ
n aː w ɛ m	n aː w ɛ m
l uː k ɛ r n a m	l ʊ k ɛ r n a m
p ɛ n ɛ t r a r ɛ	p ɛ n ɛ t r aː r ɛ
k ɪ k m ʊ m	k ɪ kː ʊ m
w ɪ s ɪ b ɪ l ɪ d aː d ɛ m	w iː s ɪ b ɪ l ɪ t aː t ɛ m
k ɔ m p ɛ t ɪ t oː r ɛ	k ɔ m p ɛ t iː t oː r ɛ m
k ɔ n d uː k t j oː n ɛ m	k ɔ n d ʊ k t j oː n ɛ m
p j oː	p j ʊ m
aː n s ʊ g aː r ɛ	ɛ k sː uː k aː r ɛ
k l aʊ s uː r a m	k l aʊ s uː r a m
b aː l b ʊ t j aː r ɛ	b a l b uː t iː r ɛ
ɪ n s ʊ l s ʊ m	iː n s ʊ l s ʊ m
m ʊ r ɪ k ɛ m	m uː r ɪ k ɛ m
ɪ n k r ɛ m ɛ n t ʊ m	ɪ ŋ k r eː m ɛ n t ʊ m
ɪ m p ɛ r a t oː r j ʊ m	ɪ m p ɛ r aː t oː r j ʊ m
n ɛ s ɪ	n ɛ s k iː r ɛ
j uː r a m t oː r ɛ	j uː r aː t oː r ɛ m
m ʊ l t aː r ɛ	m ʊ l t aː r ɛ
w ɛ r t ɪ g ɪ n ɛ	w ɛ r t iː g ɪ n ɛ m
w ɔ l uː p t aː	w ɔ l ʊ p t aː t ɛ m
f ɪ m b r j aː t ʊ m	f ɪ m b r j aː t ʊ m
ɪ ŋ g ɛ n ɛ t r aː r ɛ	ɪ ŋ g ɛ n ɛ r aː r ɛ
r ɛ s ɔ n aː r ɛ	r ɛ s ɔ n aː r ɛ
s ɛ ŋ t ɪ r ɛ	s ɛ n t iː r ɛ
s k iː n t ɪ lː a	s k ɪ n t ɪ lː a m
d ɛ l ɛ t j ʊ m n ɛ m	d eː l eː t j oː n ɛ m
ɛ k s p ɪ r a t j oː n ɛ m	ɛ k sː p iː r aː t j oː n ɛ m
kʷ ɛ s t j oː n ɛ	kʷ aɪ s t j oː n ɛ m
a k ɪ t aː r ɛ	oː s k ɪ t aː r ɛ
f r aː sː ɪ n ʊ m	f r a k s ɪ n ʊ m
n ɛ f a s	n ɛ f aː s
ɛ k s p ɔ r t a t j oː n ɛ m	ɛ k s p ɔ r t aː t j oː n ɛ m
l a k t ɪ k ɪ n j ʊ m	l a k t ɪ k iː n j ʊ m
p r ɔ p a g a t j oː n ɛ m	p r oː p aː g aː t j oː n ɛ m
g a m b a m	g a m b a m
aː s k a	a s k j a m
p ɪ p ɛ r	p ɪ p ɛ r
p r ɛ d a t oː r ɛ	p r aɪ d aː t oː r ɛ m
t aː b ʊ l a m	t a b l a m
r a d ɪ k n ɛ	r aː d iː k ɛ m
b ɛ s t ɪ ɔ l a m	b eː s t ɪ ɔ l a m
k ɔ rː ɔ d ɛ r ɛ	k ɔ rː oː d ɛ r ɛ
w ʊ m r aː g ɪ n ɛ	w ɔ r aː g ɪ n ɛ m
ɪ s t r j oː n ɛ m	h ɪ s t r j oː n ɛ m
p ɛ n ʊ r j a m	p eː n uː r j a m
ɪ n s ɪ ŋ n j a m	iː n s ɪ ŋ n ɛ
aː b r ɛ ɔ g a k oː n ɛ m	a b r ɔ g aː t j oː n ɛ m
r ɛ l ɛ g aː r ɛ	r ɛ l ɪ g aː r ɛ
f ɛ s t ɪ n aː r ɛ	f ɛ s t iː n aː r ɛ
m ɪ l aː r j ʊ m	m iː lː j aː r j ʊ m
ɛ r ɔ ɛ	h eː r oː ɛ m
l ɛ n ɛ	l eː n ɛ m
p ɛ r t uː r b a t oː n ɛ m	p ɛ r t ʊ r b aː t j oː n ɛ m
s kʷ aː l ʊ m	s kʷ aː l ʊ m
s ʊ b mː ɛ r s j oː n ɛ	s ʊ mː ɛ r s j oː n ɛ m
n ʊ m ɛ m r aː r ɛ	n ʊ m ɛ r aː r ɛ
a d j ʊ ŋ g ɛ r ɛ	a d j ʊ ŋ g ɛ r ɛ
p r ɛ s ɛ n t ɪ r	p r aɪ s ɛ n t iː r ɛ
aː b ɪ t ʊ m	h a b ɪ t ʊ m
d ɛ k ɪ m ʊ m	d ɛ k ɪ m ʊ m
k ɔ n mː ɛ m ɔ r a t j oː n ɛ m	k ɔ mː ɛ m ɔ r aː t j oː n ɛ m
ɔ r d z ʊ m	h ɔ r d ɛu m
ɛ k s p l a n a k oː n ɛ m	ɛ k s p l aː n aː t j oː n ɛ m
f uː n ɛ b r ɛ m	f uː n ɛ b r ɛ m
k ɛ r k n aː r ɛ	k ɪ r k ɪ n aː r ɛ
p ɔ n d ɛ r oː s ʊ m	p ɔ n d ɛ r oː s ʊ m
k ɪ k ɔ n a m	k ɪ k oː n j a m
f aː r t ʊ m	f a r t ʊ m
a r ɛ aː l ɛ	aː r ɛ a l ɛ m
p r ɔ t ɛ s t aː r ɛ	p r oː t ɛ s t aː r iː
m ʊ w eː r ɛ	m ɔ w eː r ɛ
a r m aː r ɛ	a r m aː r ɛ
f ʊ n d a t oː r ɛ	f ʊ n d aː t oː r ɛ m
ɪ l ʊ m	h iː l ʊ m
g ɛ m ɛ l ʊ m	g ɛ m ɛ lː ʊ m
t ɛ d j oː s ʊ m	t aɪ d j oː s ʊ m
k ɔ n f ɪ r m a t j oː n ɛ m	k oː n f ɪ r m aː t j oː n ɛ m
p ɛ r n a	p ɛ r n a m
p aː l p ɪ t a t j oː n ɛ m	p a l p ɪ t aː t j oː n ɛ m
m k ʊ m t ʊ m n ɛ m	m aː l ʊ m k ɔ t oː n j ʊ m
ɪ n k ɔ m p ɛ t ɛ n t ɛ m	ɪ ŋ k ɔ m p ɛ t ɛ n t ɛ m
ɛ t aː t ɛ m	aɪ t aː t ɛ m
f ʊ l g ʊ r aː r ɛ	f ʊ l g ʊ r aː r ɛ
k ʊ m p l ɪ r ɛ	k ɔ m p l eː r ɛ
