ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
3	ProtoKaren	arrive	*təᴮ	*təᴮ	d ə ¹¹		33
347	Kayah	arrive	to¹¹	to¹¹	t o ¹¹		33
645	Kayan	arrive	təɨ̯ ¹¹	təɨ̯_¹¹	t əɨ ¹¹		33
937	Kayaw	arrive	tə¹¹	tə¹¹	t ə ¹¹		33
1251	NorthernPao	arrive	tə⁵⁵	tə⁵⁵	tʰ ə ⁵⁵		33
1530	NorthernPwo	arrive	thɔ³³	thɔ³³	tʰ ɔ ³¹		33
1811	NorthernSgaw	arrive	tɨ³³	tɨ³³	t ɨ ³³		33
2123	SouthernPao	arrive	tə³³	tə³³	t ə ³³		33
2389	SouthernPwo	arrive	tho³¹ ̈	tho³¹̈	tʰ o ⁵⁵		33
2686	SouthernSgaw	arrive	tɨ⁴⁵’	tɨ⁴⁵’	t ɨ ⁴⁵		33
2985	WesternBwe	arrive	do³³	do³³	d o ³³		33
4	ProtoKaren	arrow, dart	*blaᴮ	*blaᴮ	b l a ¹¹		46
348	Kayah	arrow, dart	pla¹¹	pla¹¹	p l e ¹¹		46
646	Kayan	arrow, dart	pla¹¹	pla¹¹	p l a ¹¹		46
938	Kayaw	arrow, dart	ple¹¹	ple¹¹	p l a ¹¹		46
1252	NorthernPao	arrow, dart	pla⁵⁵	pla⁵⁵	pʰ l a ⁵³		46
1531	NorthernPwo	arrow, dart	pla¹¹ ̈	pla¹¹̈	pʰ l a ɦ ¹¹		46
1812	NorthernSgaw	arrow, dart	pla¹¹ ̈	pla¹¹̈	p l a ɦ ¹¹		46
2124	SouthernPao	arrow, dart	pla³³	pla³³	p l a ⁵⁵		46
2390	SouthernPwo	arrow, dart	phla³³	phla³³	pʰ l a ³³		46
2687	SouthernSgaw	arrow, dart	pla³¹	pla³¹	p l a ³¹		46
2986	WesternBwe	arrow, dart	blɛ³³	blɛ³³	b l ɛ ³³		46
5	ProtoKaren	ascend, go up, rise	*thaŋᴮ	*thaŋᴮ	tʰ a ŋ ¹¹		59
349	Kayah	ascend, go up, rise	thɛ¹¹	thɛ¹¹	tʰ ɛ ¹¹		59
647	Kayan	ascend, go up, rise	thaŋ¹¹	thaŋ¹¹	tʰ a ŋ ¹¹		59
939	Kayaw	ascend, go up, rise	hɔ¹¹	hɔ¹¹	h ɔ ¹¹		60
1253	NorthernPao	ascend, go up, rise	thaŋ⁵⁵	thaŋ⁵⁵	tʰ a ŋ ⁵⁵		59
1532	NorthernPwo	ascend, go up, rise	thɛ̃³³	thɛ̃³³	tʰ ɛ̃ ³³		59
1813	NorthernSgaw	ascend, go up, rise	thɔ³¹῀	thɔ³¹῀	tʰ ɔ̃ ³¹		59
2125	SouthernPao	ascend, go up, rise	thaŋ³³	thaŋ³³	tʰ a ŋ ³³		59
2391	SouthernPwo	ascend, go up, rise	thɔ̃⁵⁵	thɔ̃⁵⁵	tʰ ɔ̃ ⁵⁵		59
2688	SouthernSgaw	ascend, go up, rise	thɔ⁴⁵’	thɔ⁴⁵’	tʰ ɔ ⁴⁵		59
2987	WesternBwe	ascend, go up, rise	tha³³	tha³³	tʰ a ³³		59
6	ProtoKaren	ashes, fireplace	*phaᴮ	*phaᴮ	pʰ a ¹¹		72
350	Kayah	ashes, fireplace	phe¹¹	phe¹¹	pʰ e ¹¹		72
648	Kayan	ashes, fireplace	pha¹¹	pha¹¹	pʰ a ¹¹		72
940	Kayaw	ashes, fireplace	pha¹¹	pha¹¹	pʰ a ¹¹		72
1254	NorthernPao	ashes, fireplace	pha⁵⁵	pha⁵⁵	pʰ a ⁵⁵		72
1814	NorthernSgaw	ashes, fireplace	pha³¹῀	pha³¹῀	pʰ a ³¹		72
2126	SouthernPao	ashes, fireplace	pha³³	pha³³	pʰ a ³³		72
2689	SouthernSgaw	ashes, fireplace	pha⁴⁵’	pha⁴⁵’	pʰ a ⁴⁵		72
7	ProtoKaren	astringent	*kjaɁᴰ	*kjaɁᴰ	k j a ʔ̚ ⁵¹		81
351	Kayah	astringent	khja⁵⁵	khja⁵⁵	kʰ j a ⁵⁵		81
649	Kayan	astringent	khiɁ⁴⁵	khiɁ⁴⁵	kʰ i ʔ ⁴⁵		81
1255	NorthernPao	astringent	khjaɁ²¹	khjaɁ²¹	kʰ j a ʔ ²¹		81
1533	NorthernPwo	astringent	kaiɁ⁴⁵	kaiɁ⁴⁵	k ai ʔ ⁴⁵		81
1815	NorthernSgaw	astringent	kiɁ⁴⁵	kiɁ⁴⁵	k i ʔ ⁴⁵		81
2392	SouthernPwo	astringent	kaiɁ³¹	kaiɁ³¹	k ai ʔ ³¹		81
2690	SouthernSgaw	astringent	kaiɁ²¹	kaiɁ²¹	k ai ʔ ²¹		81
8	ProtoKaren	bamboo	*hwaᴮ	*hwaᴮ	h w a ¹¹		91
352	Kayah	bamboo	we¹¹	we¹¹	w e ¹¹		91
650	Kayan	bamboo	hwa¹¹~hau¹¹	hwa¹¹	h w a ¹¹		91
1256	NorthernPao	bamboo	wa⁵⁵	wa⁵⁵	w a ⁵⁵		91
1534	NorthernPwo	bamboo	wa³³	wa³³	w a ³³		91
1816	NorthernSgaw	bamboo	wa³¹῀	wa³¹῀	w a ³¹		91
2127	SouthernPao	bamboo	wa³³	wa³³	w a ³³		91
2393	SouthernPwo	bamboo	wa⁵⁵	wa⁵⁵	w a ⁵⁵		91
2691	SouthernSgaw	bamboo	wa⁴⁵’	wa⁴⁵’	w a ⁴⁵		91
2988	WesternBwe	bamboo	hʊ³³	hʊ³³	h ɛ ³³		91
9	ProtoKaren	bamboo rat	*(jowᴮ)khanᴬ	*khanᴬ	kʰ a ŋ ⁵⁵		103
651	Kayan	bamboo rat	ɟu¹¹khaŋ⁵³	ɟu¹¹khaŋ⁵³	ɟ u ¹¹ + kʰ a ŋ ⁵³		2349 103
941	Kayaw	bamboo rat	(ju¹¹)khɔ⁵⁵	khɔ⁵⁵	kʰ ɔ ⁵⁵		103
1257	NorthernPao	bamboo rat	(ju⁵⁵)khan³¹ ̈	khan³¹̈	kʰ a ŋ ɦ ³¹		103
1535	NorthernPwo	bamboo rat	khɛ̃³⁵	khɛ̃³⁵	kʰ ɛ̃ ³⁵		103
1817	NorthernSgaw	bamboo rat	khɔ³³	khɔ³³	kʰ ɔ̃ ³³		103
2394	SouthernPwo	bamboo rat	khɔ̃⁵³	khɔ̃⁵³	kʰ ɔ̃ ⁵³		103
2692	SouthernSgaw	bamboo rat	khɔ⁵⁵	khɔ⁵⁵	kʰ ɔ ⁵⁵		103
2989	WesternBwe	bamboo rat	khɛ⁵⁵	khɛ⁵⁵	kʰ a ⁵⁵		103
11	ProtoKaren	bamboo shoot	*Ɂbaŋᴮ	*Ɂbaŋᴮ	ˀb a ŋ ¹¹		114
354	Kayah	bamboo shoot	bɛ¹¹	bɛ¹¹	b ɛ ¹¹		114
653	Kayan	bamboo shoot	baŋ¹¹	baŋ¹¹	b a ŋ ¹¹		114
943	Kayaw	bamboo shoot	bɔ¹¹	bɔ¹¹	b ɔ ¹¹		114
1259	NorthernPao	bamboo shoot	baŋ⁵⁵	baŋ⁵⁵	b a ŋ ⁵⁵		114
1537	NorthernPwo	bamboo shoot	bɛ̃³³	bɛ̃³³	b ɛ̃ ³³		114
1819	NorthernSgaw	bamboo shoot	bɔ³¹῀	bɔ³¹῀	b ɔ̃ ³¹		114
2129	SouthernPao	bamboo shoot	baŋ³³	baŋ³³	b a ŋ ³³		114
2396	SouthernPwo	bamboo shoot	bɔ̃⁵⁵	bɔ̃⁵⁵	b ɔ̃ ⁵⁵		114
2694	SouthernSgaw	bamboo shoot	bɔ⁴⁵’	bɔ⁴⁵’	b ɔ ⁴⁵		114
2991	WesternBwe	bamboo shoot	ɓa³³	ɓa³³	ɓ a ³³		114
10	ProtoKaren	bamboo strip	*sraᴬ	*sraᴬ	s r a ⁵⁵		126
353	Kayah	bamboo strip	se³³	se³³	s e ³³		126
652	Kayan	bamboo strip	θa⁵³	θa⁵³	θ a ⁵³		126
942	Kayaw	bamboo strip	sa⁵⁵	sa⁵⁵	s a ⁵⁵		126
1258	NorthernPao	bamboo strip	sa³¹ ̈	sa³¹̈	s a ɦ ³¹		126
1536	NorthernPwo	bamboo strip	sja³⁵	sja³⁵	s j a ³⁵		126
1818	NorthernSgaw	bamboo strip	ɕɣa³³	ɕɣa³³	ɕ ɣ a ³³		126
2128	SouthernPao	bamboo strip	sa³¹ ̈	sa³¹̈	s a ɦ ³¹		126
2395	SouthernPwo	bamboo strip	θa⁵³	θa⁵³	θ a ⁵³		126
2693	SouthernSgaw	bamboo strip	ɕɣa⁵⁵	ɕɣa⁵⁵	ɕ ɣ a ⁵⁵		126
2990	WesternBwe	bamboo strip	θrɛ⁵⁵~θə⁵⁵rɛ⁵⁵	θrɛ⁵⁵	θ r ɛ ⁵⁵		126
12	ProtoKaren	bark (n.), leather, skin	*pheɁᴰ	*pheɁᴰ	pʰ e ʔ̚ ⁵¹		138
355	Kayah	bark (n.), leather, skin	pha⁵⁵	pha⁵⁵	pʰ a ⁵⁵		138
944	Kayaw	bark (n.), leather, skin	phe³³	phe³³	pʰ e ³³		138
1260	NorthernPao	bark (n.), leather, skin	pheɁ²¹	pheɁ²¹	pʰ e ʔ ²¹		138
1538	NorthernPwo	bark (n.), leather, skin	phaiɁ⁴⁵	phaiɁ⁴⁵	pʰ ai ʔ ⁴⁵		138
1820	NorthernSgaw	bark (n.), leather, skin	phiɁ⁴⁵	phiɁ⁴⁵	pʰ i ʔ ⁴⁵		138
2397	SouthernPwo	bark (n.), leather, skin	phaiɁ³¹	phaiɁ³¹	pʰ ai ʔ ³¹		138
2695	SouthernSgaw	bark (n.), leather, skin	phaiɁ²¹	phaiɁ²¹	pʰ ai ʔ ²¹		138
2992	WesternBwe	bark (n.), leather, skin	phe³³	phe³³	pʰ e ³³		138
13	ProtoKaren	bat	*plaᴬ/ᴮ	*plaᴬᴮ	p l a ⁵⁵		149
356	Kayah	bat	ple¹¹	ple¹¹	p l e ¹¹		149
654	Kayan	bat	bla¹¹	bla¹¹	b l a ¹¹		149
945	Kayaw	bat	pla¹¹	pla¹¹	p l a ¹¹		149
1261	NorthernPao	bat	pla³¹ ̈	pla³¹̈	p l a ɦ ³¹		149
1539	NorthernPwo	bat	phla³³	phla³³	pʰ l a ³³		149
1821	NorthernSgaw	bat	bla³³	bla³³	b l a ³³		149
2130	SouthernPao	bat	pla³¹ ̈	pla³¹̈	p l a ɦ ³¹		149
2398	SouthernPwo	bat	phla⁵⁵	phla⁵⁵	pʰ l a ⁵⁵		149
2696	SouthernSgaw	bat	bla⁵⁵	bla⁵⁵	b l a ⁵⁵		149
2993	WesternBwe	bat	plɛ¹¹	plɛ¹¹	p l ɛ ¹¹		149
14	ProtoKaren	bathe	*hlowᴮ	*hlowᴮ	l̥ ou ¹¹		161
357	Kayah	bathe	lo¹¹	lo¹¹	l o ¹¹		161
946	Kayaw	bathe	lu¹¹	lu¹¹	l u ¹¹		161
1262	NorthernPao	bathe	lu⁵⁵	lu⁵⁵	l u ⁵⁵		161
1540	NorthernPwo	bathe	lou³³	lou³³	l ou ³³		161
1822	NorthernSgaw	bathe	lɨ¹¹ ̈ ~ lu¹¹ ̈	lɨ¹¹̈_~_lu¹¹̈	l ɨ ɦ ¹¹		161
2131	SouthernPao	bathe	lu³³	lu³³	l u ³³		161
2399	SouthernPwo	bathe	(Ɂɔ⁵̃ ⁵)lou⁵⁵	lou⁵⁵	l ou ⁵⁵		161
2697	SouthernSgaw	bathe	lɨ⁴⁵’	lɨ⁴⁵’	l ɨ ⁴⁵		161
15	ProtoKaren	bear (animal)	*thamᴬ	*thamᴬ	tʰ a m ⁵⁵		171
358	Kayah	bear (animal)	the³³	the³³	tʰ e ³³		171
655	Kayan	bear (animal)	thaŋ⁵³	thaŋ⁵³	tʰ a ŋ ⁵³		171
947	Kayaw	bear (animal)	thɔ⁵⁵	thɔ⁵⁵	tʰ ɔ ⁵⁵		171
1263	NorthernPao	bear (animal)	tham³¹ ̈	tham³¹̈	tʰ a m ɦ ³¹		171
1541	NorthernPwo	bear (animal)	(phɨ¹¹ ̈) thɔ̃³⁵	_thɔ̃³⁵	tʰ ã ³⁵		171
2132	SouthernPao	bear (animal)	tham³¹ ̈	tham³¹̈	tʰ a m ɦ ³¹		171
2400	SouthernPwo	bear (animal)	(phou⁵³)thɔ̃⁵³	thɔ̃⁵³	tʰ ɔ̃ ⁵³		171
2994	WesternBwe	bear (animal)	thɛ⁵⁵	thɛ⁵⁵	tʰ ɛ ⁵⁵		171
16	ProtoKaren	bedbug	*gramᴬ	*gramᴬ	g r a m ⁵⁵		182
359	Kayah	bedbug	khrɛ¹¹	khrɛ¹¹	kʰ r ɛ ¹¹		182
656	Kayan	bedbug	caŋ³³	caŋ³³	c a ŋ ³³		183
948	Kayaw	bedbug	cɔ³³	cɔ³³	c ɔ ³³		183
1264	NorthernPao	bedbug	sam³³~ɕam³³	sam³³	s a m ³³		184
1823	NorthernSgaw	bedbug	xɔ³³	xɔ³³	x ɔ ³³		185
2133	SouthernPao	bedbug	sam⁵³~saŋ⁵³	sam⁵³	s a m ⁵³		184
2698	SouthernSgaw	bedbug	xɔ³³	xɔ³³	x ɔ ³³		185
17	ProtoKaren	bee (Apis cerana)	*kwatᴰ	*kwatᴰ	k w a t̚ ⁵¹		191
360	Kayah	bee (Apis cerana)	wɛ⁵⁵	wɛ⁵⁵	w ɛ ⁵⁵		191
657	Kayan	bee (Apis cerana)	hwɛɁ⁴⁵	hwɛɁ⁴⁵	h w ɛ ʔ ⁴⁵		191
949	Kayaw	bee (Apis cerana)	hwɛ³³~khwɛ³³	hwɛ³³	h w ɛ ³³		191
1265	NorthernPao	bee (Apis cerana)	wat²¹	wat²¹	w a t ²¹		191
1542	NorthernPwo	bee (Apis cerana)	kwɛ⁵⁵	kwɛ⁵⁵	k w ɛ ⁵⁵		191
1824	NorthernSgaw	bee (Apis cerana)	kwɛɁ⁴⁵	kwɛɁ⁴⁵	k w ɛ ⁴⁵		191
2134	SouthernPao	bee (Apis cerana)	wat²¹	wat²¹	w a p ²¹		191
2401	SouthernPwo	bee (Apis cerana)	kwɛ³¹ ̈	kwɛ³¹̈	k w ɛ ɦ ³¹		191
2699	SouthernSgaw	bee (Apis cerana)	kwɛ⁵⁵	kwɛ⁵⁵	k w ɛ ⁵⁵		191
2995	WesternBwe	bee (Apis cerana)	wɛ³³~θə⁵⁵kwɛ⁵⁵	wɛ³³	w ɛ ³³		191
18	ProtoKaren	bee (Apis dorsata)	*k-hneᴬ	*k-hneᴬ	k ə ⁰ + n̥ e ⁵⁵		204 203
361	Kayah	bee (Apis dorsata)	ni³³	ni³³	n i ³³		203
658	Kayan	bee (Apis dorsata)	nai⁵³	nai⁵³	n ai ⁵³		203
950	Kayaw	bee (Apis dorsata)	ni⁵⁵	ni⁵⁵	n i ⁵⁵		203
1266	NorthernPao	bee (Apis dorsata)	ne³¹ ̈	ne³¹̈	n e ɦ ³¹		203
1543	NorthernPwo	bee (Apis dorsata)	ni³⁵	ni³⁵	n i ³⁵		203
1825	NorthernSgaw	bee (Apis dorsata)	kə¹¹nɛ³³	kə¹¹nɛ³³	k ə ¹¹ + n ɛ ³³		204 203
2135	SouthernPao	bee (Apis dorsata)	ne³¹ ̈	ne³¹̈	n e ɦ ³¹		203
2402	SouthernPwo	bee (Apis dorsata)	ni⁵³	ni⁵³	n i ⁵³		203
2700	SouthernSgaw	bee (Apis dorsata)	nɛ⁵⁵	nɛ⁵⁵	n ɛ ⁵⁵		203
2996	WesternBwe	bee (Apis dorsata)	(gə) nɪ³³	_nɪ³³	n ɪ ³³		203
19	ProtoKaren	believe	*jɨmᴮ	*jɨmᴮ	j ɨ m ¹¹		217
362	Kayah	believe	ji¹¹	ji¹¹	j i ¹¹		217
659	Kayan	believe	ɟɨ¹¹	ɟɨ¹¹	ɟ ɨ ¹¹		217
951	Kayaw	believe	jɨ¹¹	jɨ¹¹	j ɨ ¹¹		217
1267	NorthernPao	believe	jum⁵³	jum⁵³	j u m ⁵³		217
2136	SouthernPao	believe	jəm⁵⁵~jən⁵⁵	jəm⁵⁵	j ə m ⁵⁵		217
20	ProtoKaren	below, under, underneath	*~laɁᴰ	*~laɁᴰ	l a ʔ̚ ⁵¹		224
363	Kayah	below, under, underneath	le³³	le³³	l e ³³		224
660	Kayan	below, under, underneath	laɁ⁴⁵	laɁ⁴⁵	l a ʔ ⁴⁵		224
952	Kayaw	below, under, underneath	lɔ³³	lɔ³³	l ɔ ³³		224
1268	NorthernPao	below, under, underneath	(ka³³) laɁ⁴⁵	_laɁ⁴⁵	l a ʔ ⁴⁵		224
1544	NorthernPwo	below, under, underneath	chaɁ⁴⁵laɁ²¹	chaɁ⁴⁵laɁ²¹	cʰ a ʔ ⁴⁵ + l a ʔ ²¹		225 224
1826	NorthernSgaw	below, under, underneath	phɔ³³laɁ²¹	phɔ³³laɁ²¹	pʰ ɔ ³³ + l a ʔ ²¹		226 224
2137	SouthernPao	below, under, underneath	laɁ⁴⁵	laɁ⁴⁵	l a ʔ ⁴⁵		224
2403	SouthernPwo	below, under, underneath	phɔ⁵³laɁ⁴⁵	phɔ⁵³laɁ⁴⁵	pʰ ɔ ⁵³ + l a ʔ ⁴⁵		226 224
2701	SouthernSgaw	below, under, underneath	ka¹¹la¹¹ ̈	ka¹¹la¹¹̈	k a ¹¹ + l a ʔ ɦ ¹¹		227 224
2997	WesternBwe	below, under, underneath	gɔ¹¹lɛ¹¹/-lɛ¹¹	gɔ¹¹lɛ¹¹	g ɔ ¹¹ + l a ¹¹		227 224
2998	WesternBwe	below, under, underneath	gɔ¹¹lɛ¹¹/-lɛ¹¹	-lɛ¹¹	l a ¹¹		224
21	ProtoKaren	big, large	*Ɂdoᴮ	*Ɂdoᴮ	ˀd o ¹¹		242
364	Kayah	big, large	du¹¹	du¹¹	d u ¹¹		242
661	Kayan	big, large	dau¹¹	dau¹¹	d au ¹¹		242
953	Kayaw	big, large	du¹¹	du¹¹	d u ¹¹		242
1545	NorthernPwo	big, large	du³³	du³³	d u ³³		242
1827	NorthernSgaw	big, large	do³¹῀	do³¹῀	d o ³¹		242
2404	SouthernPwo	big, large	du⁵⁵	du⁵⁵	d u ⁵⁵		242
2702	SouthernSgaw	big, large	du⁴⁵’	du⁴⁵’	d u ⁴⁵		242
2999	WesternBwe	big, large	do³³	do³³	ɗ o ³³		242
22	ProtoKaren	bird	*thoᴮ	*thoᴮ	tʰ o ¹¹		253
365	Kayah	bird	thu¹¹	thu¹¹	tʰ u ¹¹		253
662	Kayan	bird	thau¹¹	thau¹¹	tʰ au ¹¹		253
954	Kayaw	bird	thu¹¹	thu¹¹	tʰ u ¹¹		253
1546	NorthernPwo	bird	thu³³	thu³³	tʰ u ³³		253
1828	NorthernSgaw	bird	tho³¹῀	tho³¹῀	tʰ o ³¹		253
2405	SouthernPwo	bird	thu⁵⁵	thu⁵⁵	tʰ u ⁵⁵		253
2703	SouthernSgaw	bird	thu⁴⁵’	thu⁴⁵’	tʰ u ⁴⁵		253
3000	WesternBwe	bird	tho³³	tho³³	tʰ o ³³		253
23	ProtoKaren	bite (v.)	*ɁɛNᴮ	*ɁɛNᴮ	ʔ ɛ ɴ ¹¹		264
366	Kayah	bite (v.)	Ɂa¹¹	Ɂa¹¹	ʔ a ¹¹		264
663	Kayan	bite (v.)	Ɂi¹¹	Ɂi¹¹	ʔ i ¹¹		264
1269	NorthernPao	bite (v.)	Ɂɛŋ⁵⁵	Ɂɛŋ⁵⁵	ʔ ɛ ŋ ⁵⁵		264
1547	NorthernPwo	bite (v.)	Ɂãi³³	Ɂãi³³	ʔ ãi ³³		264
1829	NorthernSgaw	bite (v.)	Ɂe³¹῀	Ɂe³¹῀	ʔ ẽ ³¹		264
2138	SouthernPao	bite (v.)	Ɂɛm³³~Ɂɛn³³	Ɂɛm³³	ʔ ɛ m ³³		264
2406	SouthernPwo	bite (v.)	Ɂãi⁵⁵	Ɂãi⁵⁵	ʔ ãi ⁵⁵		264
2704	SouthernSgaw	bite (v.)	Ɂi⁴⁵’	Ɂi⁴⁵’	ʔ i ⁴⁵		264
24	ProtoKaren	bitter	*khaᴮ	*khaᴮ	kʰ a ¹¹		275
367	Kayah	bitter	khe¹¹	khe¹¹	kʰ e ¹¹		275
664	Kayan	bitter	kha¹¹	kha¹¹	kʰ a ¹¹		275
955	Kayaw	bitter	kha¹¹	kha¹¹	kʰ a ¹¹		275
1270	NorthernPao	bitter	kha⁵⁵	kha⁵⁵	kʰ a ⁵⁵		275
1548	NorthernPwo	bitter	kha³³	kha³³	kʰ a ³³		275
1830	NorthernSgaw	bitter	kha³¹῀	kha³¹῀	kʰ a ³¹		275
2139	SouthernPao	bitter	kha³³	kha³³	kʰ a ³³		275
2407	SouthernPwo	bitter	kha⁵⁵	kha⁵⁵	kʰ a ⁵⁵		275
2705	SouthernSgaw	bitter	kha⁴⁵’	kha⁴⁵’	kʰ a ⁴⁵		275
3001	WesternBwe	bitter	khe³³	khe³³	kʰ ɛ ³³		275
25	ProtoKaren	blood	*swiᴮ	*swiᴮ	s w i ¹¹		288
368	Kayah	blood	swi¹¹	swi¹¹	s w i ¹¹		288
665	Kayan	blood	θwi¹¹	θwi¹¹	θ w i ¹¹		288
956	Kayaw	blood	su¹¹	su¹¹	s u ¹¹		11
1271	NorthernPao	blood	swi⁵⁵	swi⁵⁵	s w i ⁵⁵		288
1549	NorthernPwo	blood	swi³³	swi³³	s w i ³³		288
1831	NorthernSgaw	blood	(ta¹¹)swi³¹῀	swi³¹῀	s w i ³¹		288
2140	SouthernPao	blood	swi³³	swi³³	s w i ³³		288
2408	SouthernPwo	blood	θwi⁵⁵	θwi⁵⁵	θ w i ⁵⁵		288
2706	SouthernSgaw	blood	swi⁴⁵’	swi⁴⁵’	s w i ⁴⁵		288
3002	WesternBwe	blood	θwi³³, θu³³	θwi³³	θ w i ³³		288
3003	WesternBwe	blood	θwi³³, θu³³	θu³³	θ u ³³		11
26	ProtoKaren	blow (a fire)	*Ɂuᴬ	*Ɂuᴬ	ʔ u ⁵⁵		302
369	Kayah	blow (a fire)	Ɂu³³	Ɂu³³	ʔ u ³³		302
666	Kayan	blow (a fire)	Ɂu⁵³	Ɂu⁵³	ʔ u ⁵³		302
957	Kayaw	blow (a fire)	Ɂu⁵⁵	Ɂu⁵⁵	ʔ u ⁵⁵		302
1272	NorthernPao	blow (a fire)	Ɂu³¹ ̈	Ɂu³¹̈	ʔ u ɦ ³¹		302
1550	NorthernPwo	blow (a fire)	Ɂu⁵⁵	Ɂu⁵⁵	ʔ u ⁵⁵		302
1832	NorthernSgaw	blow (a fire)	Ɂu³³	Ɂu³³	ʔ u ³³		302
2141	SouthernPao	blow (a fire)	Ɂu³¹ ̈	Ɂu³¹̈	ʔ u ɦ ³¹		302
2409	SouthernPwo	blow (a fire)	Ɂu³¹ ̈	Ɂu³¹̈	ʔ u ɦ ³¹		302
2707	SouthernSgaw	blow (a fire)	Ɂu⁵⁵	Ɂu⁵⁵	ʔ u ⁵⁵		302
3004	WesternBwe	blow (a fire)	u³³	u³³	u ³³		302
27	ProtoKaren	boar (wild~)	*thɔɁᴰmiᴬ	*thɔɁᴰmiᴬ	tʰ ɔ ʔ̚ ⁵¹ + m i ⁵⁵		315 316
370	Kayah	boar (wild~)	thɛ⁵⁵mi¹¹	thɛ⁵⁵mi¹¹	tʰ ɛ ⁵⁵ + m i ¹¹		315 316
667	Kayan	boar (wild~)	thauɁ⁴⁵mi³³	thauɁ⁴⁵mi³³	tʰ au ʔ ⁴⁵ + m i ³³		315 316
958	Kayaw	boar (wild~)	tho³³mi³³	tho³³mi³³	tʰ o ³³ + m i ³³		315 316
1273	NorthernPao	boar (wild~)	thɔɁ²¹mi³³	thɔɁ²¹mi³³	tʰ ɔ ʔ ²¹ + m i ³³		315 316
1551	NorthernPwo	boar (wild~)	thoɁ⁴⁵mei⁵⁵	thoɁ⁴⁵mei⁵⁵	tʰ o ʔ ⁴⁵ + m ei ⁵⁵		315 316
1833	NorthernSgaw	boar (wild~)	thɔɁ⁴⁵mi³³	thɔɁ⁴⁵mi³³	tʰ ɔ ʔ ⁴⁵ + m i ³³		315 316
2142	SouthernPao	boar (wild~)	thɔɁ²¹mi⁵³	thɔɁ²¹mi⁵³	tʰ ɔ ʔ ²¹ + m i ⁵³		315 316
2410	SouthernPwo	boar (wild~)	thuɁ²¹mei³¹ ̈	thuɁ²¹mei³¹̈	tʰ u ʔ ²¹ + m ei ɦ ³¹		315 316
