ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS
45	Zhoucheng	(head) ache	(si31)	si31	s i ³¹	21
46	Mazhelong	(head) ache	soŋ21	soŋ21	s o ŋ ²¹	21
47	ProtoBai	(people) crawl	mæ4	mæ4	m æ ⁴	32
48	Tuoluo	(people) crawl	ma42	ma42	m a ⁴²	32
49	Gongxing	(people) crawl	mæ24	mæ24	m æ ²⁴	32
50	Enqi	(people) crawl	mæ55	mæ55	m æ ⁵⁵	32
51	Ega	(people) crawl	ma44	ma44	m a ⁴⁴	32
52	Jinman	(people) crawl	ma55	ma55	m a ⁵⁵	32
53	Jinxing	(people) crawl	ma44	ma44	m a ⁴⁴	32
54	Dashi	(people) crawl	mɚ44	mɚ44	m ɚ/ə ⁴⁴	32
55	Zhoucheng	(people) crawl	mɛ44	mɛ44	m ɛ ⁴⁴	32
56	Mazhelong	(people) crawl	mɚ44	mɚ44	m ɚ/ə ⁴⁴	32
57	ProtoBai	(rain) fall	ɣu4	ɣu4	ɣ u ⁴	43
58	Tuoluo	(rain) fall	(ʐi33)luo42	luo42	l u/w o ⁴²	45
59	Enqi	(rain) fall	u21	u21	u ²¹	44
60	Ega	(rain) fall	u42	u42	u ⁴²	44
61	Jinman	(rain) fall	u42	u42	u ⁴²	44
62	Jinxing	(rain) fall	ɣou42	ɣou42	ɣ ou ⁴²	43
63	Dashi	(rain) fall	ɣou42	ɣou42	ɣ ou ⁴²	43
64	Zhoucheng	(rain) fall	ou42(vu33ɕi44)	ou42	ou ⁴²	44
65	Mazhelong	(rain) fall	ɣo42	ɣo42	ɣ o ⁴²	43
66	ProtoBai	(rice) seedling	dzri1	dzri1	ɖʐ i ¹	53
67	Tuoluo	(rice) seedling	ʐɚ35	ʐɚ35	ʐ ɚ/ə ³⁵	53
68	Gongxing	(rice) seedling	dʐi21	dʐi21	ɖʐ i ²¹	53
69	Enqi	(rice) seedling	tsɿ21	tsɿ21	ts ɿ ²¹	53
70	Ega	(rice) seedling	tsɛ21	tsɛ21	ts ɛ ²¹	53
71	Jinman	(rice) seedling	tɕɚ21	tɕɚ21	tɕ ɚ/ə ²¹	53
72	Jinxing	(rice) seedling	tsa21	tsa21	ts a ²¹	53
73	Dashi	(rice) seedling	tʂi31	tʂi31	ʈʂ i ³¹	53
74	Zhoucheng	(rice) seedling	tsi21	tsi21	ts i ²¹	53
75	Mazhelong	(rice) seedling	dzi21	dzi21	dz i ²¹	53
76	ProtoBai	(soul); spirit	pʰæn3	pʰæn3	pʰ æ n ³	64
77	Tuoluo	(soul); spirit	pʰaŋ21maŋ21	pʰaŋ21maŋ21	pʰ a ŋ ²¹ + m a ŋ ²¹	64 65
78	Gongxing	(soul); spirit	pʰan42man22	pʰan42man22	pʰ a n ⁴² + m a n ²²	64 65
79	Enqi	(soul); spirit	pʰæ43ma43	pʰæ43ma43	pʰ æ ⁴³ + m a ⁴³	64 65
80	Ega	(soul); spirit	pʰ42ma42	pʰ42ma42	pʰ */ə ⁴² + m a ⁴²	64 65
81	Jinman	(soul); spirit	pʰã42mã42	pʰã42mã42	pʰ ã ⁴² + m ã ⁴²	64 65
82	Jinxing	(soul); spirit	pʰan31man31	pʰan31man31	pʰ a n ³¹ + m a n ³¹	64 65
83	Zhoucheng	(soul); spirit	pʰo31miɛ31	pʰo31miɛ31	pʰ o ³¹ + m i/j ɛ ³¹	64 65
84	Mazhelong	(soul); spirit	pʰɚ21mɚ̃21	pʰɚ21mɚ̃21	pʰ ɚ/ə ²¹ + m ɚ/ə̃ ²¹	64 65
85	ProtoBai	(wasps) sting	tʰro4	tʰro4	tʰ r o ⁴	82
86	Tuoluo	(wasps) sting	tʰiu42	tʰiu42	tʰ i u ⁴²	82
87	Gongxing	(wasps) sting	ŋaŋ24	ŋaŋ24	ŋ a ŋ ²⁴	83
88	Enqi	(wasps) sting	tʰiu55	tʰiu55	tʰ i u ⁵⁵	82
89	Ega	(wasps) sting	tɕʰio44	tɕʰio44	tɕʰ i/j o ⁴⁴	82
90	Jinman	(wasps) sting	ʈʰo55	ʈʰo55	ʈʰ o ⁵⁵	82
91	Jinxing	(wasps) sting	tsʰou44	tsʰou44	tsʰ ou ⁴⁴	82
92	Dashi	(wasps) sting	tʂʰou44	tʂʰou44	ʈʂʰ ou ⁴⁴	82
93	Zhoucheng	(wasps) sting	ŋa44	ŋa44	ŋ a ⁴⁴	83
94	Mazhelong	(wasps) sting	tsʰo44	tsʰo44	tsʰ o ⁴⁴	82
95	ProtoBai	(water flow)	gɯ1	gɯ1	g ɯ ¹	93
96	Tuoluo	(water flow)	gɯ35	gɯ35	g ɯ ³⁵	93
97	Gongxing	(water flow)	gɯ12	gɯ12	g ɯ ¹²	93
98	Enqi	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93
99	Ega	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93
100	Jinman	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93
101	Jinxing	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93
102	Dashi	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93
103	Zhoucheng	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93
104	Mazhelong	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93
105	ProtoBai	(water) be boiling	hua4	hua4	h u/w a ⁴	104
106	Tuoluo	(water) be boiling	huɔ42	huɔ42	h u/w ɔ ⁴²	104
107	Gongxing	(water) be boiling	xua24	xua24	x u/w a ²⁴	104
108	Enqi	(water) be boiling	χua55	χua55	χ u/w a ⁵⁵	104
109	Ega	(water) be boiling	xua44	xua44	x u/w a ⁴⁴	104
110	Jinman	(water) be boiling	xua55	xua55	x u/w a ⁵⁵	104
111	Jinxing	(water) be boiling	xuɑ44	xuɑ44	x u ɑ ⁴⁴	105
112	Zhoucheng	(water) be boiling	xua44	xua44	x u/w a ⁴⁴	104
113	Mazhelong	(water) be boiling	xua44	xua44	x u/w a ⁴⁴	104
114	ProtoBai	(xx language) 	ŋo3	ŋo3	ŋ o ³	114
115	Gongxing	(xx language) 	ŋo42	ŋo42	ŋ o ⁴²	114
116	Enqi	(xx language) 	ŋo43	ŋo43	ŋ o ⁴³	114
117	Mazhelong	(xx language) 	oŋ21	oŋ21	o ŋ ²¹	115
118	ProtoBai	Chinese chestnut	tsʰji1	tsʰji1	tsʰ j i ¹	119
119	Tuoluo	Chinese chestnut	tɕʰi55(ji42)	tɕʰi55	tɕʰ i ⁵⁵	119
120	Gongxing	Chinese chestnut	tɕʰi55(ʑi21	tɕʰi55	tɕʰ i ⁵⁵	119
121	Enqi	Chinese chestnut	tsʰi55(jɯ21)	tsʰi55	tsʰ i ⁵⁵	119
122	Ega	Chinese chestnut	(ɕu22)tsʰi55(ji21lɛ21)	ɕu22)tsʰi55	ɕ u ²² + tsʰ i ⁵⁵	120 119
123	Jinman	Chinese chestnut	(xa55ne221)	xa55ne221	x a ⁵⁵ + n e ²²¹	120 121
124	Jinxing	Chinese chestnut	tɕʰi55(ji31)	tɕʰi55	tɕʰ i ⁵⁵	119
125	Dashi	Chinese chestnut	tɕʰ(li44)	tɕʰ	tɕʰ */ə ⁰	119
126	Mazhelong	Chinese chestnut	(to21ju21)	to21ju21	t o ²¹ + j u ²¹	119 122
127	ProtoBai	Han Chinese	haŋ5	haŋ5	h a ŋ ⁵	133
128	Tuoluo	Han Chinese	haŋ21	haŋ21	h a ŋ ²¹	133
129	Gongxing	Han Chinese	haŋ42	haŋ42	h a ŋ ⁴²	133
130	Enqi	Han Chinese	χa43	χa43	χ a ⁴³	132
131	Ega	Han Chinese	xa42	xa42	x a ⁴²	132
132	Jinman	Han Chinese	xa42	xa42	x a ⁴²	132
133	Jinxing	Han Chinese	xɑ̃42	xɑ̃42	x ɑ̃ ⁴²	132
134	Dashi	Han Chinese	xã42	xã42	x ã ⁴²	132
135	ProtoBai	I	C-ŋɔ3	C-ŋɔ3	ŋ ɔ ³	141
136	Tuoluo	I	ŋɔ21	ŋɔ21	ŋ ɔ ²¹	141
137	Gongxing	I	ŋa42	ŋa42	ŋ a ⁴²	141
138	Enqi	I	ɴo43	ɴo43	ɴ o ⁴³	141
139	Ega	I	ŋo42	ŋo42	ŋ o ⁴²	141
140	Jinman	I	õ42	õ42	õ ⁴²	142
141	Jinxing	I	uõ31	uõ31	u/w õ ³¹	143
142	Dashi	I	ŋõ31	ŋõ31	ŋ õ ³¹	141
143	Zhoucheng	I	ŋo31	ŋo31	ŋ o ³¹	141
144	Mazhelong	I	nen42	nen42	n e n ⁴²	141
160	ProtoBai	[Distillers grains]	pʰa1	pʰa1	pʰ a ¹	152
161	Gongxing	[Distillers grains]	pʰa24	pʰa24	pʰ a ²⁴	152
162	Enqi	[Distillers grains]	pʰa55	pʰa55	pʰ a ⁵⁵	152
163	Ega	[Distillers grains]	pʰa44	pʰa44	pʰ a ⁴⁴	152
164	Jinman	[Distillers grains]	(tsõ22qʰo22)	tsõ22qʰo22	ts õ ²² + qʰ o ²²	153 154
165	Zhoucheng	[Distillers grains]	pe35	pe35	p e ³⁵	152
166	Mazhelong	[Distillers grains]	pɛ55	pɛ55	p ɛ ⁵⁵	152
145	ProtoBai	[castrate (chicken)]	mjæ1	mjæ1	m j æ ¹	161
146	Tuoluo	[castrate (chicken)]	juaŋ55 (Wang 2006 has juang55, probably a spelling error)	juaŋ55	ju/ɥ a ŋ ⁵⁵	161
147	Gongxing	[castrate (chicken)]	ɲyɛ55	ɲyɛ55	ɲ y/ɥ ɛ ⁵⁵	161
148	Enqi	[castrate (chicken)]	mia24	mia24	m i/j a ²⁴	161
149	Ega	[castrate (chicken)]	ɲia44	ɲia44	ɲ i/j a ⁴⁴	161
150	Jinman	[castrate (chicken)]	ɲio55	ɲio55	ɲ i/j o ⁵⁵	161
151	Jinxing	[castrate (chicken)]	mian55	mian55	m i/j a n ⁵⁵	161
152	Dashi	[castrate (chicken)]	mier35 (this is strange: should it be "miɚ35"?)	mier35	m i/j er/e ³⁵	161
153	ProtoBai	[cow louse]	pe1	pe1	p e ¹	172
154	Gongxing	[cow louse]	(ŋɯ21ɕi24)	ŋɯ21ɕi24	ŋ ɯ ²¹ + ɕ i ²⁴	170 171
155	Enqi	[cow louse]	pi24	pi24	p i ²⁴	172
156	Ega	[cow louse]	(ŋɯ21ɕi44)	ŋɯ21ɕi44	ŋ ɯ ²¹ + ɕ i ⁴⁴	170 171
157	Jinman	[cow louse]	(ɯ̃21ɕi44)	ɯ̃21ɕi44	ɯ̃ ²¹ + ɕ i ⁴⁴	173 171
158	Zhoucheng	[cow louse]	pe35	pe35	p e ³⁵	172
159	Mazhelong	[cow louse]	pɛ55	pɛ55	p ɛ ⁵⁵	172
167	ProtoBai	[loach]	ʔo4	ʔo4	ʔ o ⁴	184
168	Gongxing	[loach]	ao24	ao24	ao ²⁴	181
169	Enqi	[loach]	ʔo55	ʔo55	ʔ o ⁵⁵	184
170	Ega	[loach]	(ŋu55tsi22)	ŋu55tsi22	ŋ u ⁵⁵ + ts i ²²	182 183
171	Jinxing	[loach]	ʔv44	ʔv44	ʔ v/ʯ ⁴⁴	184
172	Dashi	[loach]	o55	o55	o ⁵⁵	181
173	Zhoucheng	[loach]	v55	v55	v/ʯ ⁵⁵	181
174	Mazhelong	[loach]	(tɕa21oŋ55)	tɕa21oŋ55	tɕ a ²¹ + o ŋ ⁵⁵	183 185
175	ProtoBai	[pull up weeds]	qʰu1	qʰu1	qʰ u ¹	192
176	Gongxing	[pull up weeds]	qʰu55	qʰu55	qʰ u ⁵⁵	192
177	Enqi	[pull up weeds]	qʰu24	qʰu24	qʰ u ²⁴	192
178	Ega	[pull up weeds]	qʰu24	qʰu24	qʰ u ²⁴	192
179	Jinman	[pull up weeds]	qʰu55	qʰu55	qʰ u ⁵⁵	192
180	Zhoucheng	[pull up weeds]	kʰu55	kʰu55	kʰ u ⁵⁵	192
181	Mazhelong	[pull up weeds]	kʰo55	kʰo55	kʰ o ⁵⁵	192
182	ProtoBai	[wood]	ɢua4	ɢua4	ɣ u/w a ⁴	200
183	Tuoluo	[wood]	guo42	guo42	g u/w o ⁴²	200
184	Gongxing	[wood]	ɢua21	ɢua21	ɣ u/w a ²¹	200
185	Enqi	[wood]	qua21	qua21	q u/w a ²¹	200
186	Jinxing	[wood]	kuɑ42	kuɑ42	k u ɑ ⁴²	201
187	Dashi	[wood]	kua42	kua42	k u/w a ⁴²	200
188	ProtoBai	a half	pjo2	pjo2	p j o ²	207
189	Tuoluo	a half	fv33	fv33	f v/ʯ ³³	207
190	Gongxing	a half	pfw22	pfw22	pf ɯ ²²	207
191	Enqi	a half	po22	po22	p o ²²	207
192	Ega	a half	fe22	fe22	f e ²²	207
193	Jinman	a half	fɚ22	fɚ22	f ɚ/ə ²²	207
194	Zhoucheng	a half	po21	po21	p o ²¹	207
195	Mazhelong	a half	po21	po21	p o ²¹	207
196	ProtoBai	a year old	sʰua4	sʰua4	sʰ u/w a ⁴	216
197	Tuoluo	a year old	suɔ42	suɔ42	s u/w ɔ ⁴²	216
198	Gongxing	a year old	sua24	sua24	s u/w a ²⁴	216
199	Enqi	a year old	sua55	sua55	s u/w a ⁵⁵	216
200	Ega	a year old	sua44	sua44	s u/w a ⁴⁴	216
201	Jinman	a year old	sua55	sua55	s u/w a ⁵⁵	216
202	Jinxing	a year old	suɑ44	suɑ44	s u ɑ ⁴⁴	217
203	Dashi	a year old	sʰua44	sʰua44	sʰ u/w a ⁴⁴	216
204	Zhoucheng	a year old	sua44	sua44	s u/w a ⁴⁴	216
205	Mazhelong	a year old	sua44	sua44	s u/w a ⁴⁴	216
206	ProtoBai	air; breath	tɕʰi4	tɕʰi4	tɕʰ i ⁴	227
207	Tuoluo	air; breath	tɕʰi42	tɕʰi42	tɕʰ i ⁴²	227
208	Gongxing	air; breath	tɕʰi55	tɕʰi55	tɕʰ i ⁵⁵	227
209	Enqi	air; breath	tɕʰi55	tɕʰi55	tɕʰ i ⁵⁵	227
210	Jinxing	air; breath	tɕʰi44	tɕʰi44	tɕʰ i ⁴⁴	227
211	Dashi	air; breath	tɕʰi44	tɕʰi44	tɕʰ i ⁴⁴	227
212	Zhoucheng	air; breath	tɕʰi55	tɕʰi55	tɕʰ i ⁵⁵	227
213	Mazhelong	air; breath	tɕʰi44	tɕʰi44	tɕʰ i ⁴⁴	227
214	ProtoBai	alcoholic beverage	tsuŋ2	tsuŋ2	ts u ŋ ²	236
215	Tuoluo	alcoholic beverage	tsvŋ33	tsvŋ33	ts v/ʯ ŋ ³³	236
216	Gongxing	alcoholic beverage	tsoŋ22	tsoŋ22	ts o ŋ ²²	236
217	Enqi	alcoholic beverage	tso22	tso22	ts o ²²	236
218	Ega	alcoholic beverage	tsõ22	tsõ22	ts õ ²²	236
219	Jinman	alcoholic beverage	tsŋ22	tsŋ22	ts */ə ŋ ²²	236
220	Jinxing	alcoholic beverage	tsṽ33	tsṽ33	ts ṽ/ʯ̃ ³³	236
221	Dashi	alcoholic beverage	tsõ33	tsõ33	ts õ ³³	236
222	Zhoucheng	alcoholic beverage	tsi33	tsi33	ts i ³³	236
223	Mazhelong	alcoholic beverage	tsoŋ33	tsoŋ33	ts o ŋ ³³	236
224	ProtoBai	ant	bri1bɯ1	bri1bɯ1	b r i 1b/¹ + ɯ ¹	247 251
225	Tuoluo	ant	tɕien55(ɕaŋ55)	tɕien55	tɕ i/j e n ⁵⁵	250
226	Gongxing	ant	dzu12bu12	dzu12bu12	dz u ¹² + b u ¹²	249 247
227	Enqi	ant	tsu43pɯ21	tsu43pɯ21	ts u ⁴³ + p ɯ ²¹	249 247
228	Ega	ant	tɕi21pɯ21	tɕi21pɯ21	tɕ i ²¹ + p ɯ ²¹	249 247
229	Jinman	ant	tɕi21pɯ21	tɕi21pɯ21	tɕ i ²¹ + p ɯ ²¹	249 247
230	Jinxing	ant	pien21põ21	pien21põ21	p i/j e n ²¹ + p õ ²¹	250 247
231	Dashi	ant	pi21po21	pi21po21	p i ²¹ + p o ²¹	247 248
232	Zhoucheng	ant	pi21pɯ21	pi21pɯ21	p i ²¹ + p ɯ ²¹	247 248
233	Mazhelong	ant	pi55pǝɯ21	pi55pǝɯ21	p i ⁵⁵ + p əɯ ²¹	247 248
234	ProtoBai	arrow	tsjen5	tsjen5	ts j e n ⁵	267
235	Tuoluo	arrow	tɕien21	tɕien21	tɕ i/j e n ²¹	267
236	Gongxing	arrow	tɕin42	tɕin42	tɕ i n ⁴²	267
237	Enqi	arrow	tsi43	tsi43	ts i ⁴³	267
238	Ega	arrow	tsɛ42	tsɛ42	ts ɛ ⁴²	267
239	Jinman	arrow	tsẽ42	tsẽ42	ts ẽ ⁴²	267
240	Jinxing	arrow	tɕien42	tɕien42	tɕ i/j e n ⁴²	267
241	Dashi	arrow	tɕien42	tɕien42	tɕ i/j e n ⁴²	267
242	Zhoucheng	arrow	tɕi53	tɕi53	tɕ i ⁵³	267
243	Mazhelong	arrow	tɕen42	tɕen42	tɕ e n ⁴²	267
244	ProtoBai	ask; question	præ4	præ4	p r æ ⁴	278
245	Tuoluo	ask; question	tʂua42	tʂua42	ʈʂ u/w a ⁴²	280
246	Gongxing	ask; question	tɕuɛ24	tɕuɛ24	tɕ u/w ɛ ²⁴	280
247	Enqi	ask; question	piæ55	piæ55	p i/j æ ⁵⁵	278
248	Ega	ask; question	tɕya44	tɕya44	tɕ y a ⁴⁴	279
249	Jinman	ask; question	tɕua55	tɕua55	tɕ u/w a ⁵⁵	280
250	Jinxing	ask; question	pia44	pia44	p i/j a ⁴⁴	278
251	Dashi	ask; question	piɚ44	piɚ44	p i/j ɚ/ə ⁴⁴	278
252	Zhoucheng	ask; question	piɛ44	piɛ44	p i/j ɛ ⁴⁴	278
253	Mazhelong	ask; question	piɚ44	piɚ44	p i/j ɚ/ə ⁴⁴	278
254	ProtoBai	astringent; like unripe	sri4	sri4	s r i ⁴	289
255	Tuoluo	astringent; like unripe	ʂi4	ʂi4	ʂ i ⁴	289
256	Gongxing	astringent; like unripe	tsua24	tsua24	ts u/w a ²⁴	289
257	Enqi	astringent; like unripe	sɿ55	sɿ55	s ɿ ⁵⁵	289
258	Ega	astringent; like unripe	(kʰui42/tsʰi42)	tsʰi42)	tsʰ i ⁴²	289
259	Jinman	astringent; like unripe	ʂɚ55	ʂɚ55	ʂ ɚ/ə ⁵⁵	289
260	Jinxing	astringent; like unripe	sa44	sa44	s a ⁴⁴	289
261	Dashi	astringent; like unripe	ʂi44	ʂi44	ʂ i ⁴⁴	289
262	Zhoucheng	astringent; like unripe	si55	si55	s i ⁵⁵	289
263	Mazhelong	astringent; like unripe	si44	si44	s i ⁴⁴	289
264	ProtoBai	at night; in the evening	pɛ2	pɛ2	p ɛ ²	300
265	Tuoluo	at night; in the evening	pɛ33	pɛ33	p ɛ ³³	300
266	Gongxing	at night; in the evening	(ja55xɯ42)	ja55xɯ42	j a ⁵⁵ + x ɯ ⁴²	303 304
267	Enqi	at night; in the evening	(ɕia24xɯ22)	ɕia24xɯ22	ɕ i/j a ²⁴ + x ɯ ²²	303 304
268	Ega	at night; in the evening	(ɲi44u22)	ɲi44u22	ɲ i ⁴⁴ + u ²²	301 302
269	Jinman	at night; in the evening	(ɕia55xɯ̃42)	ɕia55xɯ̃42	ɕ i/j a ⁵⁵ + x ɯ̃ ⁴²	303 304
270	Jinxing	at night; in the evening	pẽ55	pẽ55	p ẽ ⁵⁵	300
271	Dashi	at night; in the evening	pe33	pe33	p e ³³	300
272	Zhoucheng	at night; in the evening	pe33	pe33	p e ³³	300
273	Mazhelong	at night; in the evening	(ɕɚ55pʰo55)	ɕɚ55pʰo55	ɕ ɚ/ə ⁵⁵ + pʰ o ⁵⁵	304 300
274	ProtoBai	axe	pɯ2	pɯ2	p ɯ ²	316
275	Tuoluo	axe	pɯ33	pɯ33	p ɯ ³³	316
276	Gongxing	axe	pu33	pu33	p u ³³	316
277	Enqi	axe	pɯ22	pɯ22	p ɯ ²²	316
278	Ega	axe	pɯ22	pɯ22	p ɯ ²²	316
279	Jinman	axe	pɯ22	pɯ22	p ɯ ²²	316
280	Jinxing	axe	pɯ33	pɯ33	p ɯ ³³	316
281	Dashi	axe	pɯ33	pɯ33	p ɯ ³³	316
282	Zhoucheng	axe	pɯ33	pɯ33	p ɯ ³³	316
283	Mazhelong	axe	pǝɯ33	pǝɯ33	p əɯ ³³	316
284	ProtoBai	back, behind	ɣɯ2	ɣɯ2	ɣ ɯ ²	327
285	Tuoluo	back, behind	ɣɯ33	ɣɯ33	ɣ ɯ ³³	327
286	Gongxing	back, behind	ɣe22	ɣe22	ɣ e ²²	327
287	Enqi	back, behind	ɯ22	ɯ22	ɯ ²²	328
288	Ega	back, behind	xɯ̃22	xɯ̃22	x ɯ̃ ²²	327
289	Jinman	back, behind	xẽ55	xẽ55	x ẽ ⁵⁵	327
290	Jinxing	back, behind	ɣeǝ33	ɣeǝ33	ɣ eə ³³	327
291	Dashi	back, behind	ɣɯ33	ɣɯ33	ɣ ɯ ³³	327
292	Zhoucheng	back, behind	ɣɯ33	ɣɯ33	ɣ ɯ ³³	327
293	Mazhelong	back, behind	ɣǝ33	ɣǝ33	ɣ ə ³³	327
294	ProtoBai	bad (things)	quɛ3	quɛ3	q u/w ɛ ³	338
295	Tuoluo	bad (things)	quɛ21	quɛ21	q u/w ɛ ²¹	338
296	Gongxing	bad (things)	quɛ42	quɛ42	q u/w ɛ ⁴²	338
297	Enqi	bad (things)	quE43	quE43	q u ᴇ/ɛ ⁴³	339
298	Ega	bad (things)	quɛ42	quɛ42	q u/w ɛ ⁴²	338
299	Jinman	bad (things)	que42	que42	q u/w e ⁴²	338
300	Jinxing	bad (things)	kua44	kua44	k u/w a ⁴⁴	338
301	Dashi	bad (things)	kue42	kue42	k u/w e ⁴²	338
302	Mazhelong	bad (things)	kuɛ44	kuɛ44	k u/w ɛ ⁴⁴	338
303	ProtoBai	bamboo	tsro4	tsro4	ts r o ⁴	348
304	Tuoluo	bamboo	tʂv42	tʂv42	ʈʂ v/ʯ ⁴²	348
305	Gongxing	bamboo	tsao24	tsao24	ts ao ²⁴	348
306	Enqi	bamboo	tɕo55	tɕo55	tɕ o ⁵⁵	348
307	Ega	bamboo	tɕu44	tɕu44	tɕ u ⁴⁴	348
308	Jinman	bamboo	tɕu55	tɕu55	tɕ u ⁵⁵	348
309	Jinxing	bamboo	tsv44	tsv44	ts v/ʯ ⁴⁴	348
310	Dashi	bamboo	tʂo33	tʂo33	ʈʂ o ³³	348
311	Zhoucheng	bamboo	tsv44	tsv44	ts v/ʯ ⁴⁴	348
312	Mazhelong	bamboo	tsu44	tsu44	ts u ⁴⁴	348
313	ProtoBai	bamboo food steamer	ŋuen1	ŋuen1	ŋ u/w e n ¹	359
314	Tuoluo	bamboo food steamer	uen35	uen35	u/w e n ³⁵	359
315	Gongxing	bamboo food steamer	uen12	uen12	u/w e n ¹²	359
316	Enqi	bamboo food steamer	ŋui21	ŋui21	ŋ u/w i ²¹	359
317	Ega	bamboo food steamer	ŋuɛ21	ŋuɛ21	ŋ u/w ɛ ²¹	359
318	Jinxing	bamboo food steamer	uẽ21	uẽ21	u/w ẽ ²¹	359
319	Dashi	bamboo food steamer	uen21	uen21	u/w e n ²¹	359
320	Zhoucheng	bamboo food steamer	uɛ21	uɛ21	u/w ɛ ²¹	359
321	ProtoBai	bamboo piece	mi1b	mi1b	m i 1b/¹	369
322	Gongxing	bamboo piece	mi12	mi12	m i ¹²	369
323	Enqi	bamboo piece	mi21	mi21	m i ²¹	369
324	Ega	bamboo piece	ɲyi21	ɲyi21	ɲ y/ɥ i ²¹	368
325	Jinman	bamboo piece	(tɕiu44pʰe42)	tɕiu44pʰe42	tɕ i u ⁴⁴ + pʰ e ⁴²	370 371
326	Zhoucheng	bamboo piece	mi21	mi21	m i ²¹	369
327	Mazhelong	bamboo piece	(tsu44xo55)	tsu44xo55	ts u ⁴⁴ + x o ⁵⁵	370 372
328	ProtoBai	bark	tree+skin	drɯ3+be1	d r ɯ ³ + b e ¹	380 379
329	Tuoluo	bark	djɯ21bi35	djɯ21bi35	d j ɯ ²¹ + b i ³⁵	380 379
330	Gongxing	bark	dʐi12bi21	dʐi12bi21	ɖʐ i ¹² + b i ²¹	378 379
331	Enqi	bark	tree + skin	diɯ43pi21	d i/j ɯ ⁴³ + p i ²¹	380 379
332	Ega	bark	tree + skin	dʑi42tɕyi21qa55	dʑ i ⁴² + tɕ y/ɥ i ²¹ + q a ⁵⁵	378 380 381
333	Jinman	bark	tree + skin	ɖɯ42tɕyi21	ɖ ɯ ⁴² + tɕ y/ɥ i ²¹	378 380
334	Jinxing	bark	tsɯ31pe21	tsɯ31pe21	ts ɯ ³¹ + p e ²¹	378 379
335	Dashi	bark	tʂɯ21pe21	tʂɯ21pe21	ʈʂ ɯ ²¹ + p e ²¹	378 379
336	Zhoucheng	bark	tsɯpe21	tsɯpe21	ts ɯ ⁰ + p e ²¹	378 379
337	Mazhelong	bark	ɕen55pe21	ɕen55pe21	ɕ e n ⁵⁵ + p e ²¹	382 379
338	ProtoBai	barley	zɔ1	zɔ1	z ɔ ¹	400
339	Tuoluo	barley	zɔ35	zɔ35	z ɔ ³⁵	400
340	Gongxing	barley	zao12	zao12	z ao ¹²	400
341	Enqi	barley	zo43	zo43	z o ⁴³	400
342	Ega	barley	zo21	zo21	z o ²¹	400
343	Jinman	barley	zao21	zao21	z ao ²¹	400
344	Jinxing	barley	sou21	sou21	s ou ²¹	400
345	Dashi	barley	zau21	zau21	z au ²¹	400
