ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
63	PajapanNahuat	black 	pis-tik	pis-tik	p i s + t i k		14
64	JalupaNahuat	black 	yayák	yayák	j a j á/a k		15
65	Pipil	black 	tiːl-tik (Santo Domingo de Guzmán), kuː-tiːl-tik (Cuisnahuat)	tiːl-tik_	t iː l + t i k		13
66	ProtoAztecan	black 	*tliːl-tɨ-k	*tliːl-tɨ-k	tɬ iː l + t ɨ + k		13
67	ClassicalNahuatl	blood 	es-tli	es-tli	e s + tɬ i		16
68	TetelcingoNahuatl	blood 	yes-tliː	yes-tliː	j e s + tɬ iː		16
69	NorthPueblaNahuatl	blood 	yes-tli	yes-tli	j e s + tɬ i		16
70	MecayapanNahuat	blood 	es-ti	es-ti	e s + t i		16
71	PajapanNahuat	blood 	es-ti	es-ti	e s + t i		16
72	JalupaNahuat	blood 	es-ti	es-ti	e s + t i		16
73	Pipil	blood 	es-ti	es-ti	e s + t i		16
74	Pochutec	blood 	es-t	es-t	e s + t		16
75	ProtoAztecan	blood 	*ɨs-tlɨ	*ɨs-tlɨ	ɨ s + tɬ ɨ		16
76	ClassicalNahuatl	bone 	omi-tl	omi-tl	o m i + tɬ		17
77	TetelcingoNahuatl	bone 	miːmiːte-tl	miːmiːte-tl	m iː m iː t e + tɬ		18
78	NorthPueblaNahuatl	bone 	ohmi-tl	ohmi-tl	o h m i + tɬ		17
79	MecayapanNahuat	bone 	omi-ʔ	omi-ʔ	o m i + ʔ		17
80	PajapanNahuat	bone 	omi-t	omi-t	o m i + t		17
81	JalupaNahuat	bone 	umi-t	umi-t	u m i + t		17
82	Pipil	bone 	uːmi-t	uːmi-t	uː m i + t		17
83	Pochutec	bone 	o-t	o-t	o + t		17
84	ProtoAztecan	bone 	*oːmɨ-tl	*oːmɨ-tl	oː m ɨ + tɬ		17
85	ClassicalNahuatl	breast 	-chiːchiːwal	-chiːchiːwal	tʃ iː tʃ iː w a l		19
86	TetelcingoNahuatl	breast 	-chichiːwal (de mujer)	-chichiːwal_	tʃ i tʃ iː w a l		19
87	NorthPueblaNahuatl	breast 	-chichiwal (de mujer)	-chichiwal_	tʃ i tʃ i w a l		19
88	MecayapanNahuat	breast 	-chiːchiwal (teta)	-chiːchiwal_	tʃ iː tʃ i w a l		19
89	PajapanNahuat	breast 	-chichiwal (teta)	-chichiwal_	tʃ i tʃ i w a l		19
90	JalupaNahuat	breast 	-chichi (teta)	-chichi_	tʃ i tʃ i		20
91	Pipil	breast 	-chiːchih (teta)	-chiːchih_	tʃ iː tʃ i h		20
92	Pochutec	breast 	/no/-tipén (mi pecho)	no	n o		21
93	ProtoAztecan	breast 	*-chiːchiːwal	*-chiːchiːwal	tʃ iː tʃ iː w a l		19
94	ClassicalNahuatl	burn tr. 	-tlatiaː	-tlatiaː	tɬ a t i aː		22
95	TetelcingoNahuatl	burn tr. 	-tlatia	-tlatia	tɬ a t i a		22
96	NorthPueblaNahuatl	burn tr. 	-tititza	-tititza	t i t i ts a		23
97	MecayapanNahuat	burn tr. 	-tatiá	-tatiá	t a t i á/a		22
98	PajapanNahuat	burn tr. 	-tata	-tata	t a t a		22
99	JalupaNahuat	burn tr. 	-tati	-tati	t a t i		22
100	Pipil	burn tr. 	-tatia	-tatia	t a t i a		22
101	Pochutec	burn tr. 	-tatí	-tatí	t a t í/i		22
102	ProtoAztecan	burn tr. 	*-tla-tɨ-ha	*-tla-tɨ-ha	tɬ a + t ɨ + h a		22
103	ClassicalNahuatl	claw(nail) 	iste-tl	iste-tl	i s t e + tɬ		24
104	TetelcingoNahuatl	claw(nail) 	iste	iste	i s t e		24
105	NorthPueblaNahuatl	claw(nail) 	ist-n	ist-n	i s t + n		24
106	MecayapanNahuat	claw(nail) 	isti	isti	i s t i		24
107	PajapanNahuat	claw(nail) 	-isti	-isti	i s t i		24
108	JalupaNahuat	claw(nail) 	-isti	-isti	i s t i		24
109	Pipil	claw(nail) 	isti-t	isti-t	i s t i + t		24
110	Pochutec	claw(nail) 	ox-t	ox-t	o x + t		24
111	ProtoAztecan	claw(nail) 	*-ɨstɨ	*-ɨstɨ	ɨ s t ɨ		24
112	ClassicalNahuatl	cloud 	mix-tli	mix-tli	m i x + tɬ i		25
113	TetelcingoNahuatl	cloud 	mex-tliː	mex-tliː	m e x + tɬ iː		25
114	NorthPueblaNahuatl	cloud 	(tepe)-mex-tli	-mex-tli	m e x + tɬ i		25
115	MecayapanNahuat	cloud 	mix-ti	mix-ti	m i x + t i		25
116	PajapanNahuat	cloud 	miːx-ti	miːx-ti	m iː x + t i		25
117	Pipil	cloud 	mix-ti	mix-ti	m i x + t i		25
118	Pochutec	cloud 	pix-t?	pix-t?	p i x + t		26
119	ProtoAztecan	cloud 	*mix-tlɨ	*mix-tlɨ	m i x + tɬ ɨ		25
120	ClassicalNahuatl	cold 	iːtz-tik, sesek	iːtz-tik	iː ts + t i k		28
121	TetelcingoNahuatl	cold 	itz-tiːk	itz-tiːk	i ts + t iː k		27
122	NorthPueblaNahuatl	cold 	itz-tik	itz-tik	i ts + t i k		27
123	MecayapanNahuat	cold 	seseːʔ	seseːʔ	s e s eː ʔ		28
124	PajapanNahuat	cold 	seseːk	seseːk	s e s eː k		28
125	JalupaNahuat	cold 	sesek	sesek	s e s e k		28
126	Pipil	cold 	sesek	sesek	s e s e k		28
127	Pochutec	cold 	piná, kug’li	piná	p i n á/a		29
128	ProtoAztecan	cold 	*sese-k	*sese-k	s e s e + k		28
129	ClassicalNahuatl	come 	witz	witz	w i ts		30
130	TetelcingoNahuatl	come 	ibitz	ibitz	i b i ts		30
131	NorthPueblaNahuatl	come 	witz	witz	w i ts		30
132	MecayapanNahuat	come 	wiːʔ	wiːʔ	w iː ʔ		30
133	PajapanNahuat	come 	wiːtz	wiːtz	w iː ts		30
134	JalupaNahuat	come 	ñotz	ñotz	ɲ o ts		31
135	Pipil	come 	wiːtz	wiːtz	w iː ts		30
136	Pochutec	come 	witz	witz	w i ts		30
137	ProtoAztecan	come 	*wiːtz (preterit-as-present form)	*wiːtz_	w iː ts		30
138	ClassicalNahuatl	die 	mik(i)	mik	m i k		32
139	TetelcingoNahuatl	die 	miːkiː	miːkiː	m iː k iː		32
140	NorthPueblaNahuatl	die 	miki	miki	m i k i		32
141	MecayapanNahuat	die 	miki	miki	m i k i		32
142	PajapanNahuat	die 	migi	migi	m i g i		32
143	JalupaNahuat	die 	miki	miki	m i k i		32
144	Pipil	die 	miki	miki	m i k i		32
145	Pochutec	die 	mok	mok	m o k		32
146	ProtoAztecan	die 	*mɨki	*mɨki	m ɨ k i		32
147	ClassicalNahuatl	dog 	chichi-(toːn)	chichi-	tʃ i tʃ i		33
148	TetelcingoNahuatl	dog 	chiːchiː-tu	chiːchiː-tu	tʃ iː tʃ iː + t u		33
149	NorthPueblaNahuatl	dog 	chichi	chichi	tʃ i tʃ i		33
150	MecayapanNahuat	dog 	peːlo (Spanish loan)	peːlo_	p eː l o		49
151	PajapanNahuat	dog 	pelo (Spanish loan)	pelo_	p e l o		50
152	JalupaNahuat	dog 	chuchu	chuchu	tʃ u tʃ u		33
153	Pipil	dog 	peːlu (Spanish loan)	peːlu_	p eː l u		33
154	Pochutec	dog 	tachóm	tachóm	t a tʃ ó/o m		34
155	ClassicalNahuatl	drink 	-on-iː (thither-drink)	-on-iː_	o n + iː		51
156	TetelcingoNahuatl	drink 	-on-i	-on-i	o n + i		51
157	NorthPueblaNahuatl	drink 	-on-i	-on-i	o n + i		51
158	MecayapanNahuat	drink 	-on-i-á	-on-i-á	o n + i + á/a		51
159	PajapanNahuat	drink 	-on-i	-on-i	o n + i		51
160	JalupaNahuat	drink 	/xi-k/-i (impera- tive form)	xi-k	x i + k		51
161	Pipil	drink 	-un-i	-un-i	u n + i		51
162	Pochutec	drink 	tem-í (mouth-drink?)	tem-í_	t e m + í/i		51
163	ProtoAztecan	drink 	*-ihi	*-ihi	i h i		51
164	ClassicalNahuatl	dry 	waːk-ki	waːk-ki	w aː k + k i		52
165	TetelcingoNahuatl	dry 	wah-kiː	wah-kiː	w a h + k iː		52
166	NorthPueblaNahuatl	dry 	wah-ki	wah-ki	w a h + k i		52
167	MecayapanNahuat	dry 	waːk-toʔ	waːk-toʔ	w aː k + t o ʔ		52
168	PajapanNahuat	dry 	waːk-tok	waːk-tok	w aː k + t o k		52
169	JalupaNahuat	dry 	wak-tuk	wak-tuk	w a k + t u k		52
170	Pipil	dry 	waːk-tuk	waːk-tuk	w aː k + t u k		52
171	Pochutec	dry 	wak	wak	w a k		52
172	ProtoAztecan	dry 	*waːk-	*waːk-	w aː k		52
173	ClassicalNahuatl	ear 	nakas-tli	nakas-tli	n a k a s + tɬ i		53
174	TetelcingoNahuatl	ear 	-nakas	-nakas	n a k a s		53
175	NorthPueblaNahuatl	ear 	-nakas	-nakas	n a k a s		53
176	MecayapanNahuat	ear 	nakas	nakas	n a k a s		53
177	PajapanNahuat	ear 	-nagas	-nagas	n a g a s		53
178	JalupaNahuat	ear 	-nakas	-nakas	n a k a s		53
179	Pipil	ear 	-nakas	-nakas	n a k a s		53
180	Pochutec	ear 	nekés-t	nekés-t	n e k é/e s + t		53
181	ProtoAztecan	ear 	*nakas-tlɨ	*nakas-tlɨ	n a k a s + tɬ ɨ		53
182	ClassicalNahuatl	earth 	tlaːl-li	tlaːl-li	tɬ aː l + l i		54
183	TetelcingoNahuatl	earth 	tlöliː	tlöliː	tɬ ø l iː		54
184	NorthPueblaNahuatl	earth 	tlali	tlali	tɬ a l i		54
185	MecayapanNahuat	earth 	taːhli	taːhli	t aː h l i		54
186	PajapanNahuat	earth 	taːhli	taːhli	t aː h l i		54
187	JalupaNahuat	earth 	tahli	tahli	t a h l i		54
188	Pipil	earth 	taːl	taːl	t aː l		54
189	Pochutec	earth 	tal	tal	t a l		54
190	ProtoAztecan	earth 	*tlaːl-lɨ	*tlaːl-lɨ	tɬ aː l + l ɨ		54
191	ClassicalNahuatl	eat 	-kwaː	-kwaː	k w aː		55
192	TetelcingoNahuatl	eat 	-kwa	-kwa	k w a		55
193	NorthPueblaNahuatl	eat 	-kwa	-kwa	k w a		55
194	MecayapanNahuat	eat 	-kwa	-kwa	k w a		55
195	PajapanNahuat	eat 	-baː	-baː	b aː		55
196	JalupaNahuat	eat 	-bwaː	-bwaː	b w aː		55
197	Pipil	eat 	kwa	kwa	k w a		55
198	Pochutec	eat 	kwa	kwa	k w a		55
199	ProtoAztecan	eat 	*-kwa-haː	*-kwa-haː	k w a + h aː		55
200	ClassicalNahuatl	egg 	toːtol-te-tl	toːtol-te-tl	t oː t o l + t e + tɬ		56
201	TetelcingoNahuatl	egg 	tutol-tetl	tutol-tetl	t u t o l + t e tɬ		56
202	NorthPueblaNahuatl	egg 	totol-te-tl	totol-te-tl	t o t o l + t e + tɬ		56
203	MecayapanNahuat	egg 	teksis	teksis	t e k s i s		57
204	PajapanNahuat	egg 	teksis	teksis	t e k s i s		57
205	JalupaNahuat	egg 	pil-tzin	pil-tzin	p i l + ts i n		58
206	Pipil	egg 	teksis-ti	teksis-ti	t e k s i s + t i		57
207	Pochutec	egg 	ti-tó-t	ti-tó-t	t i + t ó/o + t		59
208	ClassicalNahuatl	eye 	-iːx-teloloʔ	-iːx-teloloʔ	iː x + t e l o l o ʔ		60
209	TetelcingoNahuatl	eye 	-ix-telolo	-ix-telolo	i x + t e l o l o		60
210	NorthPueblaNahuatl	eye 	-ix-telolo	-ix-telolo	i x + t e l o l o		60
211	MecayapanNahuat	eye 	-iːx	-iːx	iː x		60
212	PajapanNahuat	eye 	-iːx-tololo	-iːx-tololo	iː x + t o l o l o		60
213	JalupaNahuat	eye 	-iːx	-iːx	iː x		60
214	Pipil	eye 	-iːx	-iːx	iː x		60
215	Pochutec	eye 	ix-totolú-t	ix-totolú-t	i x + t o t o l ú/u + t		60
216	ProtoAztecan	eye 	*-iːx	*-iːx	iː x		60
217	ClassicalNahuatl	fat n. 	chiyaːwis-tli	chiyaːwis-tli	tʃ i j aː w i s + tɬ i		73
218	TetelcingoNahuatl	fat n. 	manteka (Spanish loan), chiːyöwa	manteka_	m a n t e k a		74
219	NorthPueblaNahuatl	fat n. 	chiak-tli	chiak-tli	tʃ i a k + tɬ i		75
220	MecayapanNahuat	fat n. 	-tomahka (su gordura), xeːpoh (de res, Spanish loan)	-tomahka_	t o m a h k a		76
221	PajapanNahuat	fat n. 	mantega (Spanish loan), pagax (Spanish loan)	mantega_	m a n t e g a		77
222	JalupaNahuat	fat n. 	manteka (Spanish loan)	manteka_	m a n t e k a		78
223	ClassicalNahuatl	feather 	ihwi-tl	ihwi-tl	i h w i + tɬ		79
224	TetelcingoNahuatl	feather 	tohmitl (su pluma, pelo: itohmeyo)	tohmitl_	t o h m i tɬ		80
225	NorthPueblaNahuatl	feather 	ihwi-tl	ihwi-tl	i h w i + tɬ		79
226	MecayapanNahuat	feather 	tzohmi-ʔ	tzohmi-ʔ	ts o h m i + ʔ		81
227	PajapanNahuat	feather 	tzohmi-t	tzohmi-t	ts o h m i + t		81
228	JalupaNahuat	feather 	iy-uhwi-yu	iy-uhwi-yu	i j + u h w i + j u		79
229	Pipil	feather 	-uhmi-yu	-uhmi-yu	u h m i + j u		82
230	ProtoAztecan	feather 	*-ɨ?wɨ	*-ɨ?wɨ	ɨ w ɨ		79
231	ClassicalNahuatl	fire 	tle-tl	tle-tl	tɬ e + tɬ		83
232	TetelcingoNahuatl	fire 	tle-tzin-tliː	tle-tzin-tliː	tɬ e + ts i n + tɬ iː		83
233	NorthPueblaNahuatl	fire 	tle-tl	tle-tl	tɬ e + tɬ		83
234	MecayapanNahuat	fire 	tiʔ-ti	tiʔ-ti	t i ʔ + t i		83
235	PajapanNahuat	fire 	ti-t	ti-t	t i + t		83
236	JalupaNahuat	fire 	ti-t	ti-t	t i + t		83
237	Pipil	fire 	tiː-t	tiː-t	t iː + t		83
238	Pochutec	fire 	te-t	te-t	t e + t		83
239	ProtoAztecan	fire 	*tlahi-tl	*tlahi-tl	tɬ a h i + tɬ		83
240	ClassicalNahuatl	fish 	mich-in	mich-in	m i tʃ + i n		84
241	TetelcingoNahuatl	fish 	miːchiː	miːchiː	m iː tʃ iː		84
242	NorthPueblaNahuatl	fish 	michi	michi	m i tʃ i		84
243	MecayapanNahuat	fish 	toːpoh	toːpoh	t oː p o h		85
244	PajapanNahuat	fish 	toːpoh	toːpoh	t oː p o h		85
245	JalupaNahuat	fish 	xeːneh	xeːneh	x eː n e h		86
246	Pipil	fish 	michin	michin	m i tʃ i n		84
247	Pochutec	fish 	michóm	michóm	m i tʃ ó/o m		84
248	ProtoAztecan	fish 	*mɨ-chɨ-m	*mɨ-chɨ-m	m ɨ + tʃ ɨ + m		84
249	ClassicalNahuatl	fly 	patlaːn(i)	patlaːn	p a tɬ aː n		87
250	TetelcingoNahuatl	fly 	patlöni	patlöni	p a tɬ ø n i		87
251	NorthPueblaNahuatl	fly 	patlani	patlani	p a tɬ a n i		87
252	MecayapanNahuat	fly 	pataːni	pataːni	p a t aː n i		87
253	PajapanNahuat	fly 	pataːni	pataːni	p a t aː n i		87
254	JalupaNahuat	fly 	parani	parani	p a r a n i		87
255	Pipil	fly 	pataːni	pataːni	p a t aː n i		87
256	Pochutec	fly 	patánk	patánk	p a t á/a n k		87
257	ProtoAztecan	fly 	*patlaːni	*patlaːni	p a tɬ aː n i		87
258	ClassicalNahuatl	foot 	(i)kxi-tl	kxi-tl	kx i + tɬ		88
259	TetelcingoNahuatl	foot 	-ikxiː	-ikxiː	i kx iː		88
260	NorthPueblaNahuatl	foot 	-ikxi	-ikxi	i kx i		88
261	MecayapanNahuat	foot 	ikxi	ikxi	i kx i		88
262	PajapanNahuat	foot 	-ikxi	-ikxi	i kx i		88
263	JalupaNahuat	foot 	-ikxi	-ikxi	i kx i		88
264	Pipil	foot 	(i)kxi	kxi	kx i		88
265	Pochutec	foot 	/no/-xói ‘mi pie’	no	n o		89
266	ProtoAztecan	foot 	*-ɨkxɨ	*-ɨkxɨ	ɨ kx ɨ		88
267	ClassicalNahuatl	full 	teːn-tok	teːn-tok	t eː n + t o k		90
268	TetelcingoNahuatl	full 	tien-tiːka	tien-tiːka	t i e n + t iː k a		90
269	NorthPueblaNahuatl	full 	ten-tok, temi	ten-tok	t e n + t o k		90
270	MecayapanNahuat	full 	teːn-toʔ	teːn-toʔ	t eː n + t o ʔ		90
271	PajapanNahuat	full 	teːn-tok	teːn-tok	t eː n + t o k		90
272	JalupaNahuat	full 	neː-tik	neː-tik	n eː + t i k		91
273	Pipil	full 	teːn-tuk	teːn-tuk	t eː n + t u k		90
274	ProtoAztecan	full 	*teːn-tok	*teːn-tok	t eː n + t o k		90
275	ClassicalNahuatl	give tr. 	-maka	-maka	m a k a		92
276	TetelcingoNahuatl	give tr. 	-maka	-maka	m a k a		92
277	NorthPueblaNahuatl	give tr. 	-maka	-maka	m a k a		92
278	MecayapanNahuat	give tr. 	-maka	-maka	m a k a		92
279	PajapanNahuat	give tr. 	-maga	-maga	m a g a		92
280	JalupaNahuat	give tr. 	-ma	-ma	m a		92
281	Pipil	give tr. 	-maka	-maka	m a k a		92
282	Pochutec	give tr. 	-meká	-meká	m e k á/a		92
283	ProtoAztecan	give tr. 	*-maka	*-maka	m a k a		92
284	ClassicalNahuatl	good 	kwal-li	kwal-li	k w a l + l i		93
285	TetelcingoNahuatl	good 	kwaliː	kwaliː	k w a l iː		93
286	NorthPueblaNahuatl	good 	kwali	kwali	k w a l i		93
287	MecayapanNahuat	good 	yeːk-ti	yeːk-ti	j eː k + t i		94
288	PajapanNahuat	good 	yek-ti	yek-ti	j e k + t i		94
289	JalupaNahuat	good 	yek-ti	yek-ti	j e k + t i		94
290	Pipil	good 	yeːk	yeːk	j eː k		94
291	Pochutec	good 	ulík (cf. CNa weːlik ‘something delicious, pleasing’)	ulík_	u l í/i k		95
292	ProtoAztecan	good 	*yeːk-tlɨ	*yeːk-tlɨ	j eː k + tɬ ɨ		94
293	ClassicalNahuatl	good 	yek-tli	yek-tli	j e k + tɬ i		97
294	ProtoAztecan	good 	*yeːk-tlɨ	*yeːk-tlɨ	j eː k + tɬ ɨ		97
295	ClassicalNahuatl	green 	xoxok-tik	xoxok-tik	x o x o k + t i k		98
296	TetelcingoNahuatl	green 	xoxok-tiːk	xoxok-tiːk	x o x o k + t iː k		98
297	NorthPueblaNahuatl	green 	xoxok-tik	xoxok-tik	x o x o k + t i k		98
298	MecayapanNahuat	green 	xoxok-tiʔ	xoxok-tiʔ	x o x o k + t i ʔ		98
299	PajapanNahuat	green 	xoxok-tik	xoxok-tik	x o x o k + t i k		98
300	JalupaNahuat	green 	xuxuí-k	xuxuí-k	x u x u í/i + k		99
301	Pipil	green 	xuxuwi-k	xuxuwi-k	x u x u w i + k		99
302	Pochutec	green 	xwi	xwi	x w i		100
303	ClassicalNahuatl	hair 	tzon-tli	tzon-tli	ts o n + tɬ i		101
304	TetelcingoNahuatl	hair 	tzon-tliː	tzon-tliː	ts o n + tɬ iː		101
305	NorthPueblaNahuatl	hair 	tzon-tli	tzon-tli	ts o n + tɬ i		101
306	MecayapanNahuat	hair 	tzon-kal	tzon-kal	ts o n + k a l		102
307	PajapanNahuat	hair 	tzon-gal	tzon-gal	ts o n + g a l		102
308	JalupaNahuat	hair 	tzun-ti	tzun-ti	ts u n + t i		101
309	Pipil	hair 	tzun-kal	tzun-kal	ts u n + k a l		102
310	Pochutec	hair 	tzon	tzon	ts o n		101
311	ProtoAztecan	hair 	*-tzom	*-tzom	ts o m		101
312	ClassicalNahuatl	hand 	-maː	-maː	m aː		103
313	TetelcingoNahuatl	hand 	-mö	-mö	m ø		103
314	NorthPueblaNahuatl	hand 	-ma-n	-ma-n	m a + n		103
315	MecayapanNahuat	hand 	mayiʔ	mayiʔ	m a j i ʔ		103
316	PajapanNahuat	hand 	-maː	-maː	m aː		103
317	JalupaNahuat	hand 	-maː-n	-maː-n	m aː + n		103
318	Pipil	hand 	-mey	-mey	m e j		103
319	Pochutec	hand 	maí	maí	m a í/i		103
320	ProtoAztecan	hand 	*-mah	*-mah	m a h		103
321	ClassicalNahuatl	head 	kwaː(i)-tl	kwaː-tl	k w aː + tɬ		105
322	TetelcingoNahuatl	head 	-tzon-teko	-tzon-teko	ts o n + t e k o		104
323	NorthPueblaNahuatl	head 	-tzon-teko	-tzon-teko	ts o n + t e k o		104
324	MecayapanNahuat	head 	-tzon-tekon	-tzon-tekon	ts o n + t e k o n		104
325	PajapanNahuat	head 	-tzon-tegon	-tzon-tegon	ts o n + t e g o n		104
326	JalupaNahuat	head 	tzun-tekon	tzun-tekon	ts u n + t e k o n		104
327	Pipil	head 	tzun-tekuma-t	tzun-tekuma-t	ts u n + t e k u m a + t		104
328	Pochutec	head 	kwaí-t	kwaí-t	k w a í/i + t		105
329	ProtoAztecan	head 	*-kwah	*-kwah	k w a h		104
330	ClassicalNahuatl	hear 	-kak(i)	-kak	k a k		106
331	TetelcingoNahuatl	hear 	-kakiː	-kakiː	k a k iː		106
332	NorthPueblaNahuatl	hear 	-kaki	-kaki	k a k i		106
333	MecayapanNahuat	hear 	-kaki	-kaki	k a k i		106
334	PajapanNahuat	hear 	-gagi	-gagi	g a g i		106
335	JalupaNahuat	hear 	-kai	-kai	k a i		106
336	Pipil	hear 	-kaːki	-kaːki	k aː k i		106
337	Pochutec	hear 	-kekí	-kekí	k e k í/i		106
338	ProtoAztecan	hear 	*-kaki	*-kaki	k a k i		106
339	ClassicalNahuatl	heart 	yoːl-li	yoːl-li	j oː l + l i		107
340	TetelcingoNahuatl	heart 	yuloh-tliː	yuloh-tliː	j u l o h + tɬ iː		107
341	NorthPueblaNahuatl	heart 	-yol-o	-yol-o	j o l + o		107
